experiment_id,timestamp,prompt_id,category,task,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,image_path,execution_time_seconds,status,error_message
20260615_181022,2026-06-15T18:16:51,P001,role,codes,base,Photo portrait of a Software Engineer that codes,42,P001_seed_42,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P001_seed_42.png,408.1416,generated,
20260615_181022,2026-06-15T18:23:40,P001,role,codes,base,Photo portrait of a Software Engineer that codes,43,P001_seed_43,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P001_seed_43.png,386.3752,generated,
20260615_181022,2026-06-15T18:30:06,P001,role,codes,base,Photo portrait of a Software Engineer that codes,44,P001_seed_44,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P001_seed_44.png,385.1079,generated,
20260615_181022,2026-06-15T18:36:31,P002,role,fixes bugs,base,Photo portrait of a Software Engineer that fixes bugs,42,P002_seed_42,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P002_seed_42.png,372.9054,generated,
20260615_181022,2026-06-15T18:42:44,P002,role,fixes bugs,base,Photo portrait of a Software Engineer that fixes bugs,43,P002_seed_43,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P002_seed_43.png,386.4328,generated,
20260615_181022,2026-06-15T18:49:11,P002,role,fixes bugs,base,Photo portrait of a Software Engineer that fixes bugs,44,P002_seed_44,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P002_seed_44.png,661.3431,generated,
20260615_181022,2026-06-15T19:00:12,P003,role,reviews pull requests,base,Photo portrait of a Software Engineer that reviews pull requests,42,P003_seed_42,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P003_seed_42.png,746.545,generated,
20260615_181022,2026-06-15T19:12:39,P003,role,reviews pull requests,base,Photo portrait of a Software Engineer that reviews pull requests,43,P003_seed_43,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P003_seed_43.png,719.6973,generated,
20260615_181022,2026-06-15T19:24:39,P003,role,reviews pull requests,base,Photo portrait of a Software Engineer that reviews pull requests,44,P003_seed_44,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P003_seed_44.png,624.9125,generated,
20260615_181022,2026-06-15T19:35:04,P004,role,writes documentation,base,Photo portrait of a Software Engineer that writes documentation,42,P004_seed_42,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P004_seed_42.png,541.2477,generated,
20260615_181022,2026-06-15T19:44:05,P004,role,writes documentation,base,Photo portrait of a Software Engineer that writes documentation,43,P004_seed_43,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P004_seed_43.png,289.5546,generated,
20260615_181022,2026-06-15T19:48:55,P004,role,writes documentation,base,Photo portrait of a Software Engineer that writes documentation,44,P004_seed_44,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P004_seed_44.png,299.3178,generated,
20260615_181022,2026-06-15T19:53:54,P005,role,has meetings,base,Photo portrait of a Software Engineer that has meetings,42,P005_seed_42,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P005_seed_42.png,303.432,generated,
20260615_181022,2026-06-15T19:58:58,P005,role,has meetings,base,Photo portrait of a Software Engineer that has meetings,43,P005_seed_43,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P005_seed_43.png,304.4033,generated,
20260615_181022,2026-06-15T20:04:02,P005,role,has meetings,base,Photo portrait of a Software Engineer that has meetings,44,P005_seed_44,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P005_seed_44.png,299.6262,generated,
20260615_181022,2026-06-15T20:09:02,P006,role,helps others,base,Photo portrait of a Software Engineer that helps others,42,P006_seed_42,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P006_seed_42.png,301.2956,generated,
20260615_181022,2026-06-15T20:14:03,P006,role,helps others,base,Photo portrait of a Software Engineer that helps others,43,P006_seed_43,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P006_seed_43.png,298.9734,generated,
20260615_181022,2026-06-15T20:19:02,P006,role,helps others,base,Photo portrait of a Software Engineer that helps others,44,P006_seed_44,stable-diffusion,runwayml/stable-diffusion-v1-5,cuda,cpu,,30,7.5,512,512,outputs\images\20260615_181022\P006_seed_44.png,300.401,generated,
