experiment_id,timestamp,prompt_id,category,task,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message
20260720_015510,2026-07-20T01:55:19,P001,role,codes,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P001_w512_h512_seed42.png,140.5514,2689.67,generated,
20260720_015510,2026-07-20T01:57:47,P001,role,codes,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P001_w512_h512_seed43.png,109.3715,2689.67,generated,
20260720_015510,2026-07-20T01:59:47,P001,role,codes,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P001_w512_h512_seed44.png,65.5096,2689.67,generated,
20260720_015510,2026-07-20T02:00:53,P001,role,codes,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P001_w512_h512_seed45.png,8.2288,2689.67,generated,
20260720_015510,2026-07-20T02:01:02,P001,role,codes,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P001_w512_h512_seed46.png,6.387,2689.67,generated,
20260720_015510,2026-07-20T02:01:09,P001,role,codes,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P001_w512_h512_seed47.png,6.0891,2689.67,generated,
20260720_015510,2026-07-20T02:01:16,P002,role,codes,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P002_w512_h512_seed42.png,6.4662,2689.67,generated,
20260720_015510,2026-07-20T02:01:23,P002,role,codes,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P002_w512_h512_seed43.png,5.8031,2689.67,generated,
20260720_015510,2026-07-20T02:01:30,P002,role,codes,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P002_w512_h512_seed44.png,5.7502,2689.67,generated,
20260720_015510,2026-07-20T02:01:36,P002,role,codes,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_015510/P002_w512_h512_seed45.png,5.6927,2689.67,generated,
