experiment_id,timestamp,prompt_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message
20260720_031811,2026-07-20T03:18:31,P001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P001_w512_h512_seed42.png,6.4217,3965.38,generated,
20260720_031811,2026-07-20T03:18:39,P001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P001_w512_h512_seed43.png,3.6786,3965.38,generated,
20260720_031811,2026-07-20T03:18:43,P001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P001_w512_h512_seed44.png,3.5578,3965.38,generated,
20260720_031811,2026-07-20T03:18:48,P001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P001_w512_h512_seed45.png,3.5348,3965.38,generated,
20260720_031811,2026-07-20T03:18:52,P001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P001_w512_h512_seed46.png,3.6663,3965.38,generated,
20260720_031811,2026-07-20T03:18:57,P001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P001_w512_h512_seed47.png,3.5732,3965.38,generated,
20260720_031811,2026-07-20T03:19:01,P002,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P002_w512_h512_seed42.png,3.5938,3965.38,generated,
20260720_031811,2026-07-20T03:19:06,P002,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P002_w512_h512_seed43.png,3.6246,3965.38,generated,
20260720_031811,2026-07-20T03:19:10,P002,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P002_w512_h512_seed44.png,3.5621,3965.38,generated,
20260720_031811,2026-07-20T03:19:15,P002,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P002_w512_h512_seed45.png,3.5954,3965.38,generated,
20260720_031811,2026-07-20T03:19:51,P002,role,codes,se,se,Photo portrait of a Software Engineer that codes,46,P002_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P002_w512_h512_seed46.png,3.6108,3965.38,generated,
20260720_031811,2026-07-20T03:19:24,P002,role,codes,se,se,Photo portrait of a Software Engineer that codes,47,P002_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P002_w512_h512_seed47.png,3.6705,3965.38,generated,
20260720_031811,2026-07-20T03:19:28,P003,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",42,P003_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P003_w512_h512_seed42.png,3.638,3965.38,generated,
20260720_031811,2026-07-20T03:19:33,P003,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",43,P003_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P003_w512_h512_seed43.png,3.6849,3965.38,generated,
20260720_031811,2026-07-20T03:19:37,P003,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",44,P003_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P003_w512_h512_seed44.png,3.6826,3965.38,generated,
20260720_031811,2026-07-20T03:19:42,P003,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",45,P003_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P003_w512_h512_seed45.png,3.6773,3965.38,generated,
20260720_031811,2026-07-20T03:19:47,P003,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",46,P003_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P003_w512_h512_seed46.png,3.7764,3965.38,generated,
20260720_031811,2026-07-20T03:19:51,P003,role,codes,fair,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",47,P003_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P003_w512_h512_seed47.png,3.6638,3965.38,generated,
20260720_031811,2026-07-20T03:19:56,P004,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,42,P004_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P004_w512_h512_seed42.png,3.7546,3965.38,generated,
20260720_031811,2026-07-20T03:20:00,P004,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,43,P004_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P004_w512_h512_seed43.png,3.6532,3965.38,generated,
20260720_031811,2026-07-20T03:20:05,P004,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,44,P004_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P004_w512_h512_seed44.png,3.7033,3965.38,generated,
20260720_031811,2026-07-20T03:20:41,P004,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,45,P004_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P004_w512_h512_seed45.png,3.69,3965.38,generated,
20260720_031811,2026-07-20T03:20:14,P004,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,46,P004_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P004_w512_h512_seed46.png,3.6533,3965.38,generated,
20260720_031811,2026-07-20T03:20:18,P004,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,47,P004_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P004_w512_h512_seed47.png,3.7307,3965.38,generated,
20260720_031811,2026-07-20T03:20:23,P005,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,42,P005_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P005_w512_h512_seed42.png,3.6713,3965.38,generated,
20260720_031811,2026-07-20T03:20:27,P005,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,43,P005_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P005_w512_h512_seed43.png,3.6954,3965.38,generated,
20260720_031811,2026-07-20T03:20:32,P005,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,44,P005_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P005_w512_h512_seed44.png,3.7018,3965.38,generated,
20260720_031811,2026-07-20T03:20:36,P005,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,45,P005_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P005_w512_h512_seed45.png,3.6596,3965.38,generated,
20260720_031811,2026-07-20T03:20:41,P005,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,46,P005_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P005_w512_h512_seed46.png,3.6553,3965.38,generated,
20260720_031811,2026-07-20T03:20:45,P005,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,47,P005_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P005_w512_h512_seed47.png,3.6794,3965.38,generated,
20260720_031811,2026-07-20T03:20:50,P006,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",42,P006_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P006_w512_h512_seed42.png,3.6701,3965.38,generated,
20260720_031811,2026-07-20T03:20:54,P006,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",43,P006_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P006_w512_h512_seed43.png,3.6993,3965.38,generated,
20260720_031811,2026-07-20T03:20:59,P006,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",44,P006_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P006_w512_h512_seed44.png,3.7229,3965.38,generated,
20260720_031811,2026-07-20T03:21:03,P006,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",45,P006_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P006_w512_h512_seed45.png,3.7334,3965.38,generated,
20260720_031811,2026-07-20T03:21:08,P006,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",46,P006_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P006_w512_h512_seed46.png,3.7136,3965.38,generated,
20260720_031811,2026-07-20T03:21:13,P006,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",47,P006_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_031811/P006_w512_h512_seed47.png,3.7192,3965.38,generated,
