experiment_id,timestamp,prompt_id,task_id,category,task,prompt_style,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message,recovered_from_legacy_session
20260720_032300,2026-07-20T03:27:34,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42.0,P001_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P001_w512_h512_seed42.png,,,generated,,1.0
20260720_032300,2026-07-20T03:32:59,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43.0,P001_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P001_w512_h512_seed43.png,,,generated,,1.0
20260720_032300,2026-07-20T03:38:15,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44.0,P001_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P001_w512_h512_seed44.png,,,generated,,1.0
20260720_032300,2026-07-20T03:43:32,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45.0,P001_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P001_w512_h512_seed45.png,,,generated,,1.0
20260720_032300,2026-07-20T03:49:54,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46.0,P001_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P001_w512_h512_seed46.png,,,generated,,1.0
20260720_032300,2026-07-20T03:54:20,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47.0,P001_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P001_w512_h512_seed47.png,,,generated,,1.0
20260720_032300,2026-07-20T03:58:17,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42.0,P002_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P002_w512_h512_seed42.png,,,generated,,1.0
20260720_032300,2026-07-20T04:02:16,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43.0,P002_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P002_w512_h512_seed43.png,,,generated,,1.0
20260720_032300,2026-07-20T04:06:51,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44.0,P002_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P002_w512_h512_seed44.png,,,generated,,1.0
20260720_032300,2026-07-20T04:11:04,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45.0,P002_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,,,15.0,5.0,512.0,512.0,512x512,outputs/images/20260720_032300/P002_w512_h512_seed45.png,,,generated,,1.0
