experiment_id,timestamp,prompt_id,category,task,variant_type,prompt_style,prompt,configured_seed,effective_seed,seed,seed_index,image_repeat_index,run_index,total_runs_for_prompt,num_images_per_prompt,run_id,robustness_axis,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,status,error_message
20260721_001619,2026-07-21T00:17:10,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200001,4200001,1,1,1,100,10,P001_w512_h512_seed42_img01_effseed4200001,multiple_runs,P001_w512_h512_seed42_img01_effseed4200001,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img01_effseed4200001.png,57.731,generated,
20260721_001619,2026-07-21T00:18:24,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200002,4200002,1,2,2,100,10,P001_w512_h512_seed42_img02_effseed4200002,multiple_runs,P001_w512_h512_seed42_img02_effseed4200002,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img02_effseed4200002.png,15.9247,generated,
20260721_001619,2026-07-21T00:18:41,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200003,4200003,1,3,3,100,10,P001_w512_h512_seed42_img03_effseed4200003,multiple_runs,P001_w512_h512_seed42_img03_effseed4200003,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img03_effseed4200003.png,9.992,generated,
20260721_001619,2026-07-21T00:18:51,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200004,4200004,1,4,4,100,10,P001_w512_h512_seed42_img04_effseed4200004,multiple_runs,P001_w512_h512_seed42_img04_effseed4200004,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img04_effseed4200004.png,9.2971,generated,
20260721_001619,2026-07-21T00:19:01,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200005,4200005,1,5,5,100,10,P001_w512_h512_seed42_img05_effseed4200005,multiple_runs,P001_w512_h512_seed42_img05_effseed4200005,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img05_effseed4200005.png,8.8168,generated,
20260721_001619,2026-07-21T00:19:09,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200006,4200006,1,6,6,100,10,P001_w512_h512_seed42_img06_effseed4200006,multiple_runs,P001_w512_h512_seed42_img06_effseed4200006,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img06_effseed4200006.png,8.8245,generated,
20260721_001619,2026-07-21T00:19:18,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200007,4200007,1,7,7,100,10,P001_w512_h512_seed42_img07_effseed4200007,multiple_runs,P001_w512_h512_seed42_img07_effseed4200007,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img07_effseed4200007.png,8.2548,generated,
20260721_001619,2026-07-21T00:19:26,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200008,4200008,1,8,8,100,10,P001_w512_h512_seed42_img08_effseed4200008,multiple_runs,P001_w512_h512_seed42_img08_effseed4200008,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img08_effseed4200008.png,8.0491,generated,
20260721_001619,2026-07-21T00:19:34,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200009,4200009,1,9,9,100,10,P001_w512_h512_seed42_img09_effseed4200009,multiple_runs,P001_w512_h512_seed42_img09_effseed4200009,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img09_effseed4200009.png,7.9734,generated,
20260721_001619,2026-07-21T00:19:43,P001,role,codes,general,general,Photo portrait of a person that codes,42,4200010,4200010,1,10,10,100,10,P001_w512_h512_seed42_img10_effseed4200010,multiple_runs,P001_w512_h512_seed42_img10_effseed4200010,stable-diffusion-v1-5,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,25,7.5,512,512,512x512,outputs/images/20260721_001619/P001_w512_h512_seed42_img10_effseed4200010.png,8.0465,generated,
