experiment_id,process_index,generation_label,prompt_id,seed,width,height,status,return_code,source_metadata_file,source_model_load_file
20260723_190845,1,P001_w512_h512_seed42,P001,42,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_190906_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_190906_model_load_resources.csv
20260723_190845,2,P001_w512_h512_seed43,P001,43,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191028_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191028_model_load_resources.csv
20260723_190845,3,P001_w512_h512_seed44,P001,44,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191137_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191137_model_load_resources.csv
20260723_190845,4,P001_w512_h512_seed45,P001,45,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191239_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191239_model_load_resources.csv
20260723_190845,5,P001_w512_h512_seed46,P001,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191358_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191358_model_load_resources.csv
20260723_190845,6,P001_w512_h512_seed47,P001,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191510_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191510_model_load_resources.csv
20260723_190845,7,P002_w512_h512_seed42,P002,42,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191614_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191614_model_load_resources.csv
20260723_190845,8,P002_w512_h512_seed43,P002,43,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191718_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191718_model_load_resources.csv
20260723_190845,9,P002_w512_h512_seed44,P002,44,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191825_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191825_model_load_resources.csv
20260723_190845,10,P002_w512_h512_seed45,P002,45,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191938_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_191938_model_load_resources.csv
20260723_190845,11,P002_w512_h512_seed46,P002,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192041_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192041_model_load_resources.csv
20260723_190845,12,P002_w512_h512_seed47,P002,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192143_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192143_model_load_resources.csv
20260723_190845,13,P003_w512_h512_seed42,P003,42,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192309_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192309_model_load_resources.csv
20260723_190845,14,P003_w512_h512_seed43,P003,43,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192452_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192452_model_load_resources.csv
20260723_190845,15,P003_w512_h512_seed44,P003,44,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192603_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192603_model_load_resources.csv
20260723_190845,16,P003_w512_h512_seed45,P003,45,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192700_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192700_model_load_resources.csv
20260723_190845,17,P003_w512_h512_seed46,P003,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192754_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192754_model_load_resources.csv
20260723_190845,18,P003_w512_h512_seed47,P003,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192852_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192852_model_load_resources.csv
20260723_190845,19,P004_w512_h512_seed42,P004,42,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192954_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_192954_model_load_resources.csv
20260723_190845,20,P004_w512_h512_seed43,P004,43,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193058_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193058_model_load_resources.csv
20260723_190845,21,P004_w512_h512_seed44,P004,44,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193204_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193204_model_load_resources.csv
20260723_190845,22,P004_w512_h512_seed45,P004,45,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193306_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193306_model_load_resources.csv
20260723_190845,23,P004_w512_h512_seed46,P004,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193410_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193410_model_load_resources.csv
20260723_190845,24,P004_w512_h512_seed47,P004,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193509_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193509_model_load_resources.csv
20260723_190845,25,P005_w512_h512_seed42,P005,42,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193608_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193608_model_load_resources.csv
20260723_190845,26,P005_w512_h512_seed43,P005,43,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193701_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193701_model_load_resources.csv
