experiment_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,model_load_seconds,model_load_monitoring_enabled,model_load_monitoring_phase,model_load_monitoring_duration_seconds,model_load_monitoring_sample_count,model_load_gpu_energy_j,model_load_gpu_energy_wh,model_load_gpu_energy_measurement_method,model_load_gpu_power_mean_w,model_load_gpu_power_max_w,model_load_gpu_utilization_mean_percent,model_load_gpu_utilization_max_percent,model_load_gpu_temperature_start_c,model_load_gpu_temperature_max_c,model_load_gpu_temperature_end_c,model_load_gpu_power_limit_w,model_load_torch_peak_allocated_vram_mb,model_load_torch_peak_reserved_vram_mb,model_load_nvml_peak_used_vram_mb,model_load_process_cpu_mean_percent,model_load_process_cpu_max_percent,model_load_process_cpu_user_seconds,model_load_process_cpu_system_seconds,model_load_process_rss_start_mb,model_load_process_rss_peak_mb,model_load_process_rss_end_mb,model_load_system_ram_used_start_mb,model_load_system_ram_used_peak_mb,model_load_system_ram_used_end_mb,source_experiment_id,process_index,generation_label,prompt_id,task_id,seed,width,height,resolution
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,13.754274,1.0,model_load,13.771848,43.0,107.327,0.029813056,nvml_total_energy_counter,7.54707,8.791,0.162791,7.0,40.0,41.0,40.0,35.0,0.0,0.0,324.617188,77.616279,126.5,1.3,10.27,974.039062,1101.074219,1100.976562,1135.058594,1204.605469,1189.722656,20260723_190906,1.0,P001_w512_h512_seed42,P001,T001,42.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.778428,1.0,model_load,7.819977,33.0,62.674,0.017409444,nvml_total_energy_counter,7.488273,7.588,0.121212,4.0,43.0,44.0,44.0,35.0,0.0,0.0,324.617188,70.190909,119.3,1.42,3.97,974.332031,1101.820312,1101.722656,1074.222656,1127.996094,1118.085938,20260723_191028,2.0,P001_w512_h512_seed43,P001,T001,43.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.277568,1.0,model_load,7.287245,31.0,71.316,0.01981,nvml_total_energy_counter,8.571742,8.613,0.096774,3.0,44.0,45.0,45.0,35.0,0.0,0.0,324.617188,66.245161,105.8,1.12,3.67,975.050781,1102.992188,1102.894531,1026.542969,1099.101562,1099.101562,20260723_191137,3.0,P001_w512_h512_seed44,P001,T001,44.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.527859,1.0,model_load,7.628246,32.0,72.399,0.020110833,nvml_total_energy_counter,8.596562,8.644,0.125,4.0,45.0,46.0,46.0,35.0,0.0,0.0,324.617188,64.528125,102.0,1.36,3.62,974.367188,1101.433594,1101.335938,1040.738281,1101.148438,1098.675781,20260723_191239,4.0,P001_w512_h512_seed45,P001,T001,45.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.891017,1.0,model_load,8.931058,34.0,81.508,0.022641111,nvml_total_energy_counter,8.640324,8.681,0.088235,2.0,45.0,46.0,46.0,35.0,0.0,0.0,324.617188,68.261765,91.4,1.03,5.09,974.261719,1100.253906,1100.253906,1023.535156,1077.710938,1062.574219,20260723_191358,5.0,P001_w512_h512_seed46,P001,T001,46.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.994244,1.0,model_load,8.038534,34.0,67.504,0.018751111,nvml_total_energy_counter,7.530118,7.561,0.117647,3.0,46.0,46.0,46.0,35.0,0.0,0.0,324.617188,69.552941,98.3,1.31,4.24,973.730469,1101.175781,1101.175781,1029.164062,1110.691406,1110.691406,20260723_191510,6.0,P001_w512_h512_seed47,P001,T001,47.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.633046,1.0,model_load,8.649666,35.0,82.34,0.022872222,nvml_total_energy_counter,8.7762,8.842,0.085714,2.0,47.0,47.0,47.0,35.0,0.0,0.0,324.617188,69.402857,98.7,1.21,5.03,975.492188,1100.234375,1100.234375,1022.21875,1114.128906,1082.847656,20260723_191614,7.0,P002_w512_h512_seed42,P002,T001,42.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,9.48072,1.0,model_load,9.545162,36.0,88.329,0.024535833,nvml_total_energy_counter,8.797083,8.881,0.166667,6.0,47.0,48.0,48.0,35.0,0.0,0.0,324.617188,73.080556,111.4,1.18,5.78,974.855469,1100.320312,1100.222656,1034.671875,1095.003906,1090.226562,20260723_191718,8.0,P002_w512_h512_seed43,P002,T001,43.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,11.867004,1.0,model_load,11.875998,43.0,93.165,0.025879167,nvml_total_energy_counter,7.675023,8.076,0.093023,4.0,48.0,48.0,48.0,35.0,0.0,0.0,324.617188,71.053488,100.4,1.22,7.54,974.398438,1099.742188,1099.644531,1037.492188,1206.761719,1096.191406,20260723_191825,9.0,P002_w512_h512_seed44,P002,T001,44.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,6.805697,1.0,model_load,6.845978,30.0,59.724,0.01659,nvml_total_energy_counter,8.1557,8.19,0.1,3.0,48.0,48.0,48.0,35.0,0.0,0.0,324.617188,67.333333,128.8,1.09,3.34,974.242188,1101.171875,1101.074219,1039.675781,1122.769531,1111.351562,20260723_191938,10.0,P002_w512_h512_seed45,P002,T001,45.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,6.688103,1.0,model_load,6.726478,29.0,57.638,0.016010556,nvml_total_energy_counter,8.185069,8.216,0.103448,2.0,48.0,48.0,48.0,35.0,0.0,0.0,324.617188,63.682759,95.5,1.0,3.31,974.492188,1102.101562,1102.101562,1043.582031,1104.589844,1087.753906,20260723_192041,11.0,P002_w512_h512_seed46,P002,T001,46.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.408271,1.0,model_load,8.418847,33.0,71.114,0.019753889,nvml_total_energy_counter,7.809182,7.838,0.121212,3.0,48.0,48.0,48.0,35.0,0.0,0.0,324.617188,66.7,98.7,1.54,4.44,975.96875,1101.546875,1101.472656,1006.269531,1096.875,1096.875,20260723_192143,12.0,P002_w512_h512_seed47,P002,T001,47.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.812714,1.0,model_load,8.830788,36.0,70.469,0.019574722,nvml_total_energy_counter,7.703611,7.733,0.138889,5.0,47.0,48.0,48.0,35.0,0.0,0.0,324.617188,69.433333,201.7,1.1,4.69,974.832031,1101.722656,1101.722656,1029.386719,1074.78125,1071.179688,20260723_192309,13.0,P003_w512_h512_seed42,P003,T001,42.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,9.803478,1.0,model_load,9.819732,38.0,88.063,0.024461944,nvml_total_energy_counter,8.737316,8.803,0.078947,3.0,47.0,48.0,48.0,35.0,0.0,0.0,324.617188,71.897368,136.5,1.23,5.72,974.664062,1101.1875,1101.089844,1018.078125,1096.984375,1087.296875,20260723_192452,14.0,P003_w512_h512_seed43,P003,T001,43.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.93443,1.0,model_load,8.958414,36.0,84.963,0.023600833,nvml_total_energy_counter,8.751139,8.819,0.083333,3.0,47.0,48.0,48.0,35.0,0.0,0.0,324.617188,74.597222,128.3,1.13,5.38,974.449219,1101.386719,1101.355469,1024.136719,1099.460938,1096.710938,20260723_192603,15.0,P003_w512_h512_seed44,P003,T001,44.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.227179,1.0,model_load,7.273018,31.0,67.639,0.018788611,nvml_total_energy_counter,8.883935,8.974,0.096774,2.0,48.0,49.0,49.0,35.0,0.0,0.0,324.617188,67.216129,100.2,1.01,3.84,974.613281,1100.804688,1100.804688,1069.941406,1122.222656,1098.039062,20260723_192700,16.0,P003_w512_h512_seed45,P003,T001,45.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.396227,1.0,model_load,7.411278,32.0,73.254,0.020348333,nvml_total_energy_counter,9.047469,9.143,0.09375,2.0,49.0,49.0,49.0,35.0,0.0,0.0,324.617188,65.690625,99.2,1.25,3.78,973.367188,1100.546875,1100.546875,1038.582031,1105.984375,1089.917969,20260723_192754,17.0,P003_w512_h512_seed46,P003,T001,46.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,6.934789,1.0,model_load,6.967076,30.0,67.184,0.018662222,nvml_total_energy_counter,9.1764,9.31,0.1,3.0,49.0,50.0,50.0,35.0,0.0,0.0,324.617188,63.44,93.5,1.12,3.34,973.957031,1100.183594,1100.183594,1035.902344,1120.742188,1120.742188,20260723_192852,18.0,P003_w512_h512_seed47,P003,T001,47.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,6.443481,1.0,model_load,6.482008,29.0,62.114,0.017253889,nvml_total_energy_counter,9.107207,9.166,0.103448,3.0,50.0,50.0,50.0,35.0,0.0,0.0,324.617188,64.448276,137.1,1.03,2.93,973.65625,1100.015625,1099.917969,1033.914062,1095.210938,1084.691406,20260723_192954,19.0,P004_w512_h512_seed42,P004,T002,42.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,6.53667,1.0,model_load,6.563454,29.0,70.421,0.019561389,nvml_total_energy_counter,9.077724,9.131,0.103448,3.0,49.0,50.0,50.0,35.0,0.0,0.0,324.617188,67.610345,163.0,1.15,3.06,973.613281,1100.996094,1100.898438,1015.203125,1102.28125,1102.265625,20260723_193058,20.0,P004_w512_h512_seed43,P004,T002,43.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,6.81462,1.0,model_load,6.853884,30.0,65.98,0.018327778,nvml_total_energy_counter,9.0866,9.138,0.1,3.0,50.0,50.0,50.0,35.0,0.0,0.0,324.617188,64.53,97.2,1.09,3.31,973.753906,1101.335938,1101.335938,1045.964844,1102.984375,1098.472656,20260723_193204,21.0,P004_w512_h512_seed44,P004,T002,44.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,9.774303,1.0,model_load,9.817935,37.0,91.18,0.025327778,nvml_total_energy_counter,8.339351,8.379,0.189189,6.0,50.0,50.0,50.0,35.0,0.0,0.0,324.617188,74.516216,98.0,1.13,6.23,973.945312,1100.421875,1100.421875,1027.832031,1097.570312,1097.570312,20260723_193306,22.0,P004_w512_h512_seed45,P004,T002,45.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.018563,1.0,model_load,8.072351,34.0,74.778,0.020771667,nvml_total_energy_counter,8.866588,8.963,0.176471,5.0,49.0,50.0,50.0,35.0,0.0,0.0,324.617188,71.644118,110.2,1.14,4.56,974.597656,1100.425781,1100.425781,1039.40625,1115.054688,1092.03125,20260723_193410,23.0,P004_w512_h512_seed46,P004,T002,46.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.965537,1.0,model_load,7.984946,34.0,72.992,0.020275556,nvml_total_energy_counter,7.934941,7.961,0.176471,5.0,50.0,50.0,50.0,35.0,0.0,0.0,324.617188,68.564706,101.0,1.3,4.17,975.425781,1101.082031,1100.984375,1047.34375,1144.859375,1107.734375,20260723_193509,24.0,P004_w512_h512_seed47,P004,T002,47.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.186428,1.0,model_load,7.212044,31.0,67.174,0.018659444,nvml_total_energy_counter,7.919194,7.942,0.193548,6.0,50.0,50.0,50.0,35.0,0.0,0.0,324.617188,66.906452,109.1,1.21,3.63,974.855469,1099.894531,1099.894531,1019.042969,1081.511719,1081.511719,20260723_193608,25.0,P005_w512_h512_seed42,P005,T002,42.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,6.42234,1.0,model_load,6.443766,28.0,61.367,0.017046389,nvml_total_energy_counter,7.85,7.894,0.178571,5.0,50.0,50.0,50.0,35.0,0.0,0.0,324.617188,65.421429,132.1,1.07,2.99,973.351562,1100.273438,1100.273438,1031.910156,1122.636719,1107.03125,20260723_193701,26.0,P005_w512_h512_seed43,P005,T002,43.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,9.067316,1.0,model_load,9.076006,37.0,81.212,0.022558889,nvml_total_energy_counter,8.282081,8.308,0.162162,6.0,51.0,51.0,51.0,35.0,0.0,0.0,324.617188,76.081081,282.6,1.21,5.23,974.523438,1101.921875,1101.921875,1021.050781,1102.546875,1097.980469,20260723_193758,27.0,P005_w512_h512_seed44,P005,T002,44.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.625916,1.0,model_load,7.647745,31.0,80.84,0.022455556,nvml_total_energy_counter,9.095484,9.188,0.096774,3.0,50.0,51.0,51.0,35.0,0.0,0.0,324.617188,68.051613,101.1,1.14,4.1,974.417969,1100.277344,1100.210938,1048.625,1102.363281,1080.304688,20260723_193857,28.0,P005_w512_h512_seed45,P005,T002,45.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.525653,1.0,model_load,7.549717,32.0,68.286,0.018968333,nvml_total_energy_counter,7.859344,7.894,0.1875,6.0,50.0,50.0,50.0,35.0,0.0,0.0,324.617188,72.85,196.3,1.13,4.03,974.890625,1101.5625,1101.5625,1029.570312,1122.625,1109.4375,20260723_194000,29.0,P005_w512_h512_seed46,P005,T002,46.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,10.686506,1.0,model_load,10.708005,38.0,101.858,0.028293889,nvml_total_energy_counter,9.223974,9.303,0.078947,2.0,50.0,51.0,51.0,35.0,0.0,0.0,324.617188,78.239474,185.9,1.59,6.65,974.25,1099.460938,1099.363281,1016.335938,1087.785156,1078.53125,20260723_194106,30.0,P005_w512_h512_seed47,P005,T002,47.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.521827,1.0,model_load,8.544004,35.0,71.403,0.019834167,nvml_total_energy_counter,7.9114,7.946,0.171429,6.0,49.0,50.0,50.0,35.0,0.0,0.0,324.617188,69.962857,99.2,1.24,4.99,974.289062,1101.261719,1101.226562,1020.378906,1114.230469,1087.105469,20260723_194221,31.0,P006_w512_h512_seed42,P006,T002,42.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.809019,1.0,model_load,7.819952,33.0,74.416,0.020671111,nvml_total_energy_counter,8.332273,8.374,0.151515,4.0,49.0,50.0,50.0,35.0,0.0,0.0,324.617188,68.148485,115.8,1.29,4.15,974.234375,1100.539062,1100.441406,1041.152344,1112.40625,1111.453125,20260723_194331,32.0,P006_w512_h512_seed43,P006,T002,43.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.285706,1.0,model_load,8.305011,35.0,81.346,0.022596111,nvml_total_energy_counter,8.934571,9.003,0.142857,5.0,49.0,49.0,49.0,35.0,0.0,0.0,324.617188,68.142857,103.0,1.35,4.48,973.71875,1099.171875,1099.171875,1018.121094,1158.148438,1078.59375,20260723_194446,33.0,P006_w512_h512_seed44,P006,T002,44.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.152013,1.0,model_load,7.182156,30.0,60.713,0.016864722,nvml_total_energy_counter,7.8818,7.908,0.133333,4.0,49.0,50.0,50.0,35.0,0.0,0.0,324.617188,65.246667,108.6,1.22,3.5,974.347656,1101.839844,1101.839844,1042.300781,1103.0625,1086.808594,20260723_194557,34.0,P006_w512_h512_seed45,P006,T002,45.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,8.522843,1.0,model_load,8.551806,35.0,81.998,0.022777222,nvml_total_energy_counter,8.869457,8.982,0.085714,3.0,49.0,49.0,49.0,35.0,0.0,0.0,324.617188,71.582857,94.2,1.45,4.64,972.835938,1099.585938,1099.488281,1024.875,1148.5,1121.15625,20260723_194724,35.0,P006_w512_h512_seed46,P006,T002,46.0,512.0,512.0,512x512
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,7.681887,1.0,model_load,7.720318,31.0,74.591,0.020719722,nvml_total_energy_counter,9.126871,9.207,0.129032,4.0,49.0,49.0,49.0,35.0,0.0,0.0,324.617188,67.245161,118.7,1.11,4.0,974.367188,1100.683594,1100.683594,1032.253906,1091.605469,1076.554688,20260723_194841,36.0,P006_w512_h512_seed47,P006,T002,47.0,512.0,512.0,512x512
