experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message
20260723_200342,2026-07-23T20:03:51,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P001_w512_h512_seed42.png,4.981113,4.768236,0.212866,4.981113,True,generation,4.990414,26,149.03,0.041397222,nvml_total_energy_counter,27.070154,35.111,73.961538,99.0,53.0,59.0,59.0,35.0,3969.75293,4450.0,4806.617188,106.530769,456.0,4.03,1.52,1328.5625,1931.863281,1931.78125,1386.441406,1895.644531,1890.972656,149.03,0.041397222,722.730071,3969.75293,generated,
20260723_200342,2026-07-23T20:03:57,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P001_w512_h512_seed43.png,4.200418,3.963754,0.236661,4.200418,True,generation,4.211552,22,146.095,0.040581944,nvml_total_energy_counter,31.353909,35.431,84.0,99.0,55.0,60.0,59.0,35.0,3969.75293,4450.0,4806.617188,101.345455,186.9,3.17,1.17,1931.78125,1931.863281,1931.78125,1889.992188,1889.992188,1873.789062,146.095,0.040581944,857.057531,3969.75293,generated,
20260723_200342,2026-07-23T20:04:01,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P001_w512_h512_seed44.png,4.22054,3.987492,0.233038,4.22054,True,generation,4.226594,22,148.413,0.041225833,nvml_total_energy_counter,31.872818,35.306,84.227273,99.0,59.0,61.0,61.0,35.0,3969.75293,4450.0,4806.617188,105.190909,248.6,3.59,0.94,1931.78125,1931.863281,1931.78125,1873.789062,1874.027344,1868.957031,148.413,0.041225833,852.971507,3969.75293,generated,
20260723_200342,2026-07-23T20:04:06,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P001_w512_h512_seed45.png,4.57937,4.4025,0.176864,4.57937,True,generation,4.587204,24,159.909,0.044419167,nvml_total_energy_counter,31.037625,35.073,78.083333,100.0,56.0,61.0,61.0,35.0,3969.75293,4450.0,4806.617188,102.954167,171.7,4.08,0.66,1931.78125,1931.863281,1931.78125,1868.957031,1868.957031,1860.597656,159.909,0.044419167,786.134285,3969.75293,generated,
20260723_200342,2026-07-23T20:04:11,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P001_w512_h512_seed46.png,5.529443,5.385338,0.144102,5.529443,True,generation,5.536993,29,177.769,0.049380278,nvml_total_energy_counter,30.389103,35.082,66.0,100.0,57.0,62.0,61.0,35.0,3969.75293,4450.0,4806.617188,98.824138,168.4,4.99,0.69,1931.78125,1931.863281,1931.78125,1860.597656,1860.597656,1854.535156,177.769,0.049380278,651.060187,3969.75293,generated,
20260723_200342,2026-07-23T20:04:17,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P001_w512_h512_seed47.png,4.170276,4.016797,0.153473,4.170276,True,generation,4.179157,22,145.546,0.040429444,nvml_total_energy_counter,32.119591,35.46,91.818182,100.0,61.0,63.0,63.0,35.0,3969.75293,4450.0,4806.617188,102.65,146.8,3.06,1.21,1931.78125,1931.863281,1931.78125,1854.527344,1854.664062,1854.398438,145.546,0.040429444,863.252184,3969.75293,generated,
20260723_200342,2026-07-23T20:04:22,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P002_w512_h512_seed42.png,4.206371,4.023197,0.183164,4.206371,True,generation,4.212012,22,149.565,0.041545833,nvml_total_energy_counter,32.064045,35.334,87.681818,99.0,59.0,63.0,63.0,35.0,3969.75293,4450.0,4806.617188,110.5,281.9,3.54,1.05,1931.78125,1931.863281,1931.78125,1854.609375,1854.609375,1852.808594,149.565,0.041545833,855.844566,3969.75293,generated,
20260723_200342,2026-07-23T20:04:27,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P002_w512_h512_seed43.png,4.16791,4.016037,0.15187,4.16791,True,generation,4.174965,22,153.379,0.042605278,nvml_total_energy_counter,31.629364,35.482,87.545455,99.0,59.0,64.0,64.0,35.0,3969.75293,4450.0,4806.617188,102.381818,192.6,3.19,1.15,1931.78125,1931.863281,1931.78125,1852.824219,1852.824219,1852.640625,153.379,0.042605278,863.742244,3969.75293,generated,
20260723_200342,2026-07-23T20:04:32,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P002_w512_h512_seed44.png,4.133612,3.983384,0.150225,4.133612,True,generation,4.141191,22,146.161,0.040600278,nvml_total_energy_counter,32.077591,35.079,87.636364,99.0,60.0,64.0,64.0,35.0,3969.75293,4450.0,4806.617188,105.086364,202.0,3.12,1.21,1931.78125,1931.863281,1931.78125,1852.640625,1852.878906,1852.015625,146.161,0.040600278,870.908943,3969.75293,generated,
20260723_200342,2026-07-23T20:04:36,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P002_w512_h512_seed45.png,4.314705,4.093145,0.221548,4.314705,True,generation,4.331869,23,149.17,0.041436111,nvml_total_energy_counter,32.143783,35.477,84.391304,100.0,61.0,65.0,64.0,35.0,3969.75293,4450.0,4806.617188,109.478261,295.8,3.67,1.25,1931.78125,1931.863281,1931.78125,1851.988281,1852.71875,1852.617188,149.17,0.041436111,834.356026,3969.75293,generated,
