metric,column_present,rows,non_null_count,missing_count,missing_percent,zero_count,negative_count
model_load_seconds,True,36,36.0,0.0,0.0,0,0.0
inference_seconds,True,36,36.0,0.0,0.0,0,0.0
image_save_seconds,True,36,36.0,0.0,0.0,0,0.0
generation_total_seconds,True,36,36.0,0.0,0.0,0,0.0
execution_time_seconds,True,36,36.0,0.0,0.0,0,0.0
monitoring_duration_seconds,True,36,36.0,0.0,0.0,0,0.0
gpu_energy_j,True,36,36.0,0.0,0.0,0,0.0
gpu_energy_wh,True,36,36.0,0.0,0.0,0,0.0
joules_per_image,True,36,36.0,0.0,0.0,0,0.0
wh_per_image,True,36,36.0,0.0,0.0,0,0.0
gpu_power_mean_w,True,36,36.0,0.0,0.0,0,0.0
gpu_power_max_w,True,36,36.0,0.0,0.0,0,0.0
gpu_utilization_mean_percent,True,36,36.0,0.0,0.0,0,0.0
gpu_utilization_max_percent,True,36,36.0,0.0,0.0,0,0.0
gpu_temperature_start_c,True,36,36.0,0.0,0.0,0,0.0
gpu_temperature_max_c,True,36,36.0,0.0,0.0,0,0.0
gpu_temperature_end_c,True,36,36.0,0.0,0.0,0,0.0
gpu_power_limit_w,True,36,36.0,0.0,0.0,0,0.0
torch_peak_allocated_vram_mb,True,36,36.0,0.0,0.0,0,0.0
torch_peak_reserved_vram_mb,True,36,36.0,0.0,0.0,0,0.0
nvml_peak_used_vram_mb,True,36,36.0,0.0,0.0,0,0.0
peak_vram_mb,True,36,36.0,0.0,0.0,0,0.0
process_cpu_mean_percent,True,36,36.0,0.0,0.0,0,0.0
process_cpu_max_percent,True,36,36.0,0.0,0.0,0,0.0
process_cpu_user_seconds,True,36,36.0,0.0,0.0,0,0.0
process_cpu_system_seconds,True,36,36.0,0.0,0.0,0,0.0
process_rss_start_mb,True,36,36.0,0.0,0.0,0,0.0
process_rss_peak_mb,True,36,36.0,0.0,0.0,0,0.0
process_rss_end_mb,True,36,36.0,0.0,0.0,0,0.0
system_ram_used_start_mb,True,36,36.0,0.0,0.0,0,0.0
system_ram_used_peak_mb,True,36,36.0,0.0,0.0,0,0.0
system_ram_used_end_mb,True,36,36.0,0.0,0.0,0,0.0
images_per_hour,True,36,36.0,0.0,0.0,0,0.0
__duplicate_image_ids__,True,36,,,,0,
