experiment_id,metric,value,lower_bound,upper_bound,iqr_multiplier,generation_order,image_id,prompt_id,seed,status
20260723_190845,generation_total_seconds,29.818232,11.201976125000002,28.901511125,1.5,1,P001_w512_h512_seed42,P001,42.0,generated
20260723_190845,generation_total_seconds,30.654395,11.201976125000002,28.901511125,1.5,13,P003_w512_h512_seed42,P003,42.0,generated
20260723_190845,inference_seconds,28.933291,10.753796874999994,27.964803875,1.5,1,P001_w512_h512_seed42,P001,42.0,generated
20260723_190845,inference_seconds,28.434296,10.753796874999994,27.964803875,1.5,13,P003_w512_h512_seed42,P003,42.0,generated
20260723_190845,image_save_seconds,2.220086,0.08649837500000013,1.5777213749999999,1.5,13,P003_w512_h512_seed42,P003,42.0,generated
20260723_190845,image_save_seconds,1.70895,0.08649837500000013,1.5777213749999999,1.5,34,P006_w512_h512_seed45,P006,45.0,generated
20260723_190845,gpu_energy_j,320.525,240.90462500000004,316.1196249999999,1.5,36,P006_w512_h512_seed47,P006,47.0,generated
20260723_190845,gpu_energy_wh,0.089034722,0.06691795187499999,0.08781100687499999,1.5,36,P006_w512_h512_seed47,P006,47.0,generated
20260723_190845,gpu_power_mean_w,9.619651,9.939245499999998,16.875023500000005,1.5,1,P001_w512_h512_seed42,P001,42.0,generated
20260723_190845,gpu_power_max_w,36.02,34.67787499999999,35.840875000000004,1.5,16,P003_w512_h512_seed45,P003,45.0,generated
20260723_190845,gpu_utilization_mean_percent,27.604839,28.053343999999992,40.78705000000001,1.5,13,P003_w512_h512_seed42,P003,42.0,generated
20260723_190845,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,3,P001_w512_h512_seed44,P001,44.0,generated
20260723_190845,gpu_utilization_max_percent,97.0,100.0,100.0,1.5,4,P001_w512_h512_seed45,P001,45.0,generated
20260723_190845,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,7,P002_w512_h512_seed42,P002,42.0,generated
20260723_190845,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,13,P003_w512_h512_seed42,P003,42.0,generated
20260723_190845,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,16,P003_w512_h512_seed45,P003,45.0,generated
20260723_190845,gpu_utilization_max_percent,97.0,100.0,100.0,1.5,19,P004_w512_h512_seed42,P004,42.0,generated
20260723_190845,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,25,P005_w512_h512_seed42,P005,42.0,generated
20260723_190845,gpu_temperature_max_c,48.0,49.5,61.5,1.5,1,P001_w512_h512_seed42,P001,42.0,generated
20260723_190845,system_ram_used_peak_mb,7487.222656,7056.189452125,7381.955079125,1.5,6,P001_w512_h512_seed47,P001,47.0,generated
20260723_190845,system_ram_used_peak_mb,7484.289062,7056.189452125,7381.955079125,1.5,13,P003_w512_h512_seed42,P003,42.0,generated
20260723_190845,system_ram_used_peak_mb,7405.492188,7056.189452125,7381.955079125,1.5,14,P003_w512_h512_seed43,P003,43.0,generated
