experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message,image_filename,resolved_image_path,image_exists,gender,ethnicity,is_human,human_raw,gender_raw,ethnicity_raw
20260723_224931,2026-07-23T22:49:45,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P001_w512_h512_seed42.png,6.596941,6.239789,0.357147,6.596941,True,generation,6.606115,19,206.839,0.057455278,nvml_total_energy_counter,22.368895,44.022,55.421053,99.0,44.0,52.0,48.0,45.0,5237.001953,5724.0,6080.617188,78.894737,101.0,4.88,1.0,1334.121094,1980.1875,1980.1875,1350.808594,1948.515625,1948.515625,206.839,0.057455278,545.70749,5237.001953,generated,,P001_w512_h512_seed42.png,outputs/images/20260723_224931/P001_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_224931,2026-07-23T22:49:52,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P001_w512_h512_seed43.png,5.220137,4.96449,0.255633,5.220137,True,generation,5.235887,10,201.328,0.055924444,nvml_total_energy_counter,31.6978,43.694,67.5,97.0,47.0,55.0,55.0,45.0,5237.001953,5724.0,6080.617188,92.98,113.1,5.1,0.46,1980.1875,1980.269531,1980.1875,1946.859375,1946.859375,1939.105469,201.328,0.055924444,689.637013,5237.001953,generated,,P001_w512_h512_seed43.png,outputs/images/20260723_224931/P001_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_224931,2026-07-23T22:49:57,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P001_w512_h512_seed44.png,4.713756,4.519304,0.194446,4.713756,True,generation,4.721545,8,204.762,0.056878333,nvml_total_energy_counter,29.54225,44.29,67.125,95.0,49.0,56.0,56.0,45.0,5237.001953,5724.0,6080.617188,104.8,177.7,4.4,0.47,1980.1875,1980.269531,1980.1875,1938.527344,1942.714844,1942.714844,204.762,0.056878333,763.722213,5237.001953,generated,,P001_w512_h512_seed44.png,outputs/images/20260723_224931/P001_w512_h512_seed44.png,True,male,asian,yes,yes,male,indian
20260723_224931,2026-07-23T22:50:02,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P001_w512_h512_seed45.png,4.776156,4.427433,0.348715,4.776156,True,generation,4.782579,8,207.316,0.057587778,nvml_total_energy_counter,30.98225,43.146,62.0,97.0,56.0,57.0,57.0,45.0,5237.001953,5724.0,6080.617188,100.95,113.6,4.77,0.51,1980.1875,1980.269531,1980.1875,1941.421875,1942.136719,1934.414062,207.316,0.057587778,753.744176,5237.001953,generated,,P001_w512_h512_seed45.png,outputs/images/20260723_224931/P001_w512_h512_seed45.png,True,male,black,yes,yes,male,african american
20260723_224931,2026-07-23T22:50:07,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P001_w512_h512_seed46.png,4.720624,4.408229,0.312383,4.720624,True,generation,4.729582,6,228.246,0.063401667,nvml_total_energy_counter,25.573167,34.791,53.833333,97.0,52.0,57.0,55.0,45.0,5237.001953,5724.0,6080.617188,97.4,110.3,4.57,0.57,1980.1875,1980.269531,1980.1875,1933.839844,1937.144531,1937.144531,228.246,0.063401667,762.610985,5237.001953,generated,,P001_w512_h512_seed46.png,outputs/images/20260723_224931/P001_w512_h512_seed46.png,True,male,white,yes,yes,male,white
20260723_224931,2026-07-23T22:50:13,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P001_w512_h512_seed47.png,4.760205,4.499562,0.260635,4.760205,True,generation,4.765883,4,202.422,0.056228333,nvml_total_energy_counter,23.66075,39.006,52.75,95.0,53.0,55.0,55.0,45.0,5237.001953,5724.0,6080.617188,99.625,114.2,4.87,0.51,1980.1875,1980.269531,1980.1875,1937.144531,1937.144531,1935.941406,202.422,0.056228333,756.269981,5237.001953,generated,,P001_w512_h512_seed47.png,outputs/images/20260723_224931/P001_w512_h512_seed47.png,True,male,white,yes,yes,male,caucasian
20260723_224931,2026-07-23T22:50:18,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P002_w512_h512_seed42.png,4.738429,4.472162,0.266261,4.738429,True,generation,4.745106,3,205.514,0.057087222,nvml_total_energy_counter,24.546,37.202,10.0,30.0,54.0,61.0,61.0,45.0,5237.001953,5724.0,6080.617188,98.166667,104.0,4.42,0.51,1980.1875,1980.269531,1980.1875,1935.402344,1943.183594,1943.183594,205.514,0.057087222,759.745547,5237.001953,generated,,P002_w512_h512_seed42.png,outputs/images/20260723_224931/P002_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_224931,2026-07-23T22:50:23,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P002_w512_h512_seed43.png,4.728164,4.437525,0.290632,4.728164,True,generation,4.734441,25,203.642,0.056567222,nvml_total_energy_counter,39.57,44.91,78.72,97.0,55.0,62.0,61.0,45.0,5237.001953,5724.0,6080.617188,97.6,242.9,4.35,0.57,1980.1875,1980.269531,1980.1875,1944.847656,1944.847656,1935.0625,203.642,0.056567222,761.394864,5237.001953,generated,,P002_w512_h512_seed43.png,outputs/images/20260723_224931/P002_w512_h512_seed43.png,True,male,asian,yes,yes,male,indian
20260723_224931,2026-07-23T22:50:29,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P002_w512_h512_seed44.png,4.715998,4.574088,0.141907,4.715998,True,generation,4.727573,24,207.771,0.057714167,nvml_total_energy_counter,39.499583,44.986,83.125,97.0,56.0,62.0,62.0,45.0,5237.001953,5724.0,6080.617188,98.991667,115.8,4.2,0.57,1980.1875,1980.269531,1980.1875,1935.785156,1936.910156,1935.8125,207.771,0.057714167,763.359028,5237.001953,generated,,P002_w512_h512_seed44.png,outputs/images/20260723_224931/P002_w512_h512_seed44.png,True,male,asian,yes,yes,male,indian
20260723_224931,2026-07-23T22:50:34,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,13.781895,outputs/images/20260723_224931/P002_w512_h512_seed45.png,4.619343,4.454863,0.164476,4.619343,True,generation,4.630029,21,203.359,0.056488611,nvml_total_energy_counter,39.81319,44.834,84.52381,97.0,57.0,63.0,59.0,45.0,5237.001953,5724.0,6080.617188,101.219048,127.6,4.27,0.56,1980.1875,1980.269531,1980.1875,1935.054688,1935.054688,1932.472656,203.359,0.056488611,779.331547,5237.001953,generated,,P002_w512_h512_seed45.png,outputs/images/20260723_224931/P002_w512_h512_seed45.png,True,male,asian,yes,yes,male,indian
