experiment_id,metric_a,metric_b,observations,pearson_correlation,spearman_correlation
20260723_224931,generation_total_seconds,inference_seconds,36,0.9876585739616505,0.9145431145431145
20260723_224931,generation_total_seconds,image_save_seconds,36,0.42044037270566104,0.28777348777348777
20260723_224931,generation_total_seconds,gpu_energy_j,36,0.029534594987588522,0.4414414414414415
20260723_224931,generation_total_seconds,gpu_energy_wh,36,0.02953459071018515,0.4414414414414415
20260723_224931,generation_total_seconds,gpu_power_mean_w,36,-0.2955384364354839,-0.06357786357786357
20260723_224931,generation_total_seconds,gpu_power_max_w,36,0.10868473470586995,0.1731128132807947
20260723_224931,generation_total_seconds,gpu_utilization_mean_percent,36,-0.06572189826609975,-0.07876447876447876
20260723_224931,generation_total_seconds,gpu_utilization_max_percent,36,0.048897631076948715,0.1430915893600005
20260723_224931,generation_total_seconds,gpu_temperature_max_c,36,-0.1887091872507427,0.4817725199082237
20260723_224931,generation_total_seconds,process_cpu_mean_percent,36,-0.5158166528990147,-0.05302445302445303
20260723_224931,generation_total_seconds,process_cpu_max_percent,36,-0.11363086109590875,-0.09486420467309867
20260723_224931,generation_total_seconds,process_rss_peak_mb,36,-0.8853415181008353,-0.2847473987257497
20260723_224931,generation_total_seconds,system_ram_used_peak_mb,36,0.4006405990175835,0.2988801672332905
20260723_224931,generation_total_seconds,images_per_hour,36,-0.9926610805810788,-1.0
20260723_224931,inference_seconds,image_save_seconds,36,0.27314498615331045,-0.06846846846846848
20260723_224931,inference_seconds,gpu_energy_j,36,0.013932734756281507,0.36293436293436293
20260723_224931,inference_seconds,gpu_energy_wh,36,0.013932730134139579,0.36293436293436293
20260723_224931,inference_seconds,gpu_power_mean_w,36,-0.2622391743360106,-0.01415701415701416
20260723_224931,inference_seconds,gpu_power_max_w,36,0.162983700554059,0.23360576662055196
20260723_224931,inference_seconds,gpu_utilization_mean_percent,36,-0.04052473486983153,-0.015186615186615189
20260723_224931,inference_seconds,gpu_utilization_max_percent,36,0.07189181731590973,0.14110814158669355
20260723_224931,inference_seconds,gpu_temperature_max_c,36,-0.1319254927388687,0.4940330046098795
20260723_224931,inference_seconds,process_cpu_mean_percent,36,-0.5118600474847524,0.0061776061776061784
20260723_224931,inference_seconds,process_cpu_max_percent,36,-0.1208298503792814,-0.09730982188990853
20260723_224931,inference_seconds,process_rss_peak_mb,36,-0.8647494087467317,-0.2847473987257497
20260723_224931,inference_seconds,system_ram_used_peak_mb,36,0.400296651215185,0.2865233644536196
20260723_224931,inference_seconds,images_per_hour,36,-0.9819477866482821,-0.9145431145431145
20260723_224931,image_save_seconds,gpu_energy_j,36,0.10063269824257863,0.06692406692406692
20260723_224931,image_save_seconds,gpu_energy_wh,36,0.10063269875285959,0.06692406692406692
20260723_224931,image_save_seconds,gpu_power_mean_w,36,-0.2959952444155884,-0.2023166023166023
20260723_224931,image_save_seconds,gpu_power_max_w,36,-0.276576021200365,-0.16641997589001306
20260723_224931,image_save_seconds,gpu_utilization_mean_percent,36,-0.16890390054436252,-0.21106821106821108
20260723_224931,image_save_seconds,gpu_utilization_max_percent,36,-0.11615906526000241,0.0821714077512874
20260723_224931,image_save_seconds,gpu_temperature_max_c,36,-0.3948502890708767,-0.1919088500143393
20260723_224931,image_save_seconds,process_cpu_mean_percent,36,-0.20286120124945972,-0.12792792792792793
20260723_224931,image_save_seconds,process_cpu_max_percent,36,0.002063539533098795,0.05740764624722117
20260723_224931,image_save_seconds,process_rss_peak_mb,36,-0.4282521450962036,-0.2847473987257497
20260723_224931,image_save_seconds,system_ram_used_peak_mb,36,0.14182168103679757,0.1602522860488573
20260723_224931,image_save_seconds,images_per_hour,36,-0.40843987384946634,-0.28777348777348777
20260723_224931,gpu_energy_j,gpu_energy_wh,36,0.9999999999999934,1.0
20260723_224931,gpu_energy_j,gpu_power_mean_w,36,0.07948940103318347,0.0640926640926641
20260723_224931,gpu_energy_j,gpu_power_max_w,36,-0.11226461726041613,0.16178647308101035
20260723_224931,gpu_energy_j,gpu_utilization_mean_percent,36,-0.03674486536116424,0.011325611325611325
20260723_224931,gpu_energy_j,gpu_utilization_max_percent,36,-0.07000347089229743,0.04675269751366353
20260723_224931,gpu_energy_j,gpu_temperature_max_c,36,0.5017800428931187,0.6902007598363729
20260723_224931,gpu_energy_j,process_cpu_mean_percent,36,0.17206420108586423,0.25585585585585585
20260723_224931,gpu_energy_j,process_cpu_max_percent,36,0.00283568160557713,0.04530827685879339
20260723_224931,gpu_energy_j,process_rss_peak_mb,36,0.12214644377610373,0.17084843923544982
20260723_224931,gpu_energy_j,system_ram_used_peak_mb,36,-0.02907689909813659,-0.008624018606645332
20260723_224931,gpu_energy_j,images_per_hour,36,-0.07605616011460571,-0.4414414414414415
20260723_224931,gpu_energy_wh,gpu_power_mean_w,36,0.07948943471571504,0.0640926640926641
20260723_224931,gpu_energy_wh,gpu_power_max_w,36,-0.11226460758253545,0.16178647308101035
20260723_224931,gpu_energy_wh,gpu_utilization_mean_percent,36,-0.036744850708653395,0.011325611325611325
20260723_224931,gpu_energy_wh,gpu_utilization_max_percent,36,-0.07000346652754945,0.04675269751366353
20260723_224931,gpu_energy_wh,gpu_temperature_max_c,36,0.5017800414765861,0.6902007598363729
20260723_224931,gpu_energy_wh,process_cpu_mean_percent,36,0.17206422102996694,0.25585585585585585
20260723_224931,gpu_energy_wh,process_cpu_max_percent,36,0.0028356867322827674,0.04530827685879339
20260723_224931,gpu_energy_wh,process_rss_peak_mb,36,0.12214642417014145,0.17084843923544982
20260723_224931,gpu_energy_wh,system_ram_used_peak_mb,36,-0.029076910624514958,-0.008624018606645332
20260723_224931,gpu_energy_wh,images_per_hour,36,-0.07605615026533691,-0.4414414414414415
20260723_224931,gpu_power_mean_w,gpu_power_max_w,36,0.7270592561322555,0.7976060252052674
20260723_224931,gpu_power_mean_w,gpu_utilization_mean_percent,36,0.6567340036718523,0.912998712998713
20260723_224931,gpu_power_mean_w,gpu_utilization_max_percent,36,0.2404039482660655,0.5307139542005562
20260723_224931,gpu_power_mean_w,gpu_temperature_max_c,36,0.4802140004992308,0.3875603743060262
20260723_224931,gpu_power_mean_w,process_cpu_mean_percent,36,0.32361228568048406,0.27413127413127414
20260723_224931,gpu_power_mean_w,process_cpu_max_percent,36,0.3614123922433177,0.5690565113429704
20260723_224931,gpu_power_mean_w,process_rss_peak_mb,36,0.361594327342906,0.2847473987257497
20260723_224931,gpu_power_mean_w,system_ram_used_peak_mb,36,-0.3010305964850018,-0.3591195807841862
20260723_224931,gpu_power_mean_w,images_per_hour,36,0.2676017928134969,0.06357786357786357
20260723_224931,gpu_power_max_w,gpu_utilization_mean_percent,36,0.7777781955423817,0.8378917579613185
20260723_224931,gpu_power_max_w,gpu_utilization_max_percent,36,0.5536870921684475,0.6236927858264013
20260723_224931,gpu_power_max_w,gpu_temperature_max_c,36,0.250261827968346,0.44921435005103477
20260723_224931,gpu_power_max_w,process_cpu_mean_percent,36,-0.1289343462737194,0.18276594413288363
20260723_224931,gpu_power_max_w,process_cpu_max_percent,36,0.23531987423935435,0.4174551080282053
20260723_224931,gpu_power_max_w,process_rss_peak_mb,36,-0.043319604746627036,0.07322547188778424
20260723_224931,gpu_power_max_w,system_ram_used_peak_mb,36,-0.04064571651255173,-0.11508013153784011
20260723_224931,gpu_power_max_w,images_per_hour,36,-0.11903727775257923,-0.1731128132807947
20260723_224931,gpu_utilization_mean_percent,gpu_utilization_max_percent,36,0.844203823329349,0.618977380112715
20260723_224931,gpu_utilization_mean_percent,gpu_temperature_max_c,36,0.10758043285586874,0.2866372265513434
20260723_224931,gpu_utilization_mean_percent,process_cpu_mean_percent,36,-0.17974916353049666,0.18172458172458172
20260723_224931,gpu_utilization_mean_percent,process_cpu_max_percent,36,0.22740911788812104,0.4843609256239759
20260723_224931,gpu_utilization_mean_percent,process_rss_peak_mb,36,0.08468623367013835,0.17084843923544982
20260723_224931,gpu_utilization_mean_percent,system_ram_used_peak_mb,36,-0.283704428998955,-0.3681297494776963
20260723_224931,gpu_utilization_mean_percent,images_per_hour,36,0.061969235010479094,0.07876447876447876
20260723_224931,gpu_utilization_max_percent,gpu_temperature_max_c,36,-0.11499307363776354,0.10122380437534118
20260723_224931,gpu_utilization_max_percent,process_cpu_mean_percent,36,-0.3836603972240952,-0.21010378912958486
20260723_224931,gpu_utilization_max_percent,process_cpu_max_percent,36,0.07634371246856582,0.1152673189867675
20260723_224931,gpu_utilization_max_percent,process_rss_peak_mb,36,-0.0672652537708131,-0.31345378464642965
20260723_224931,gpu_utilization_max_percent,system_ram_used_peak_mb,36,-0.10128425636929246,-0.2201201967374841
20260723_224931,gpu_utilization_max_percent,images_per_hour,36,-0.038264684268636766,-0.1430915893600005
20260723_224931,gpu_temperature_max_c,process_cpu_mean_percent,36,0.3983232965654929,0.3759451782728785
20260723_224931,gpu_temperature_max_c,process_cpu_max_percent,36,0.23794466878549583,0.24891987752567243
20260723_224931,gpu_temperature_max_c,process_rss_peak_mb,36,0.3897665123316074,0.285538595245755
20260723_224931,gpu_temperature_max_c,system_ram_used_peak_mb,36,-0.0910496841663071,-0.03407562751712602
20260723_224931,gpu_temperature_max_c,images_per_hour,36,0.12133629530517015,-0.4817725199082237
20260723_224931,process_cpu_mean_percent,process_cpu_max_percent,36,0.4838591653474376,0.7276354803487473
20260723_224931,process_cpu_mean_percent,process_rss_peak_mb,36,0.5148605864043622,0.2847473987257497
20260723_224931,process_cpu_mean_percent,system_ram_used_peak_mb,36,-0.06932034461172387,0.12421161127481709
20260723_224931,process_cpu_mean_percent,images_per_hour,36,0.48789047271019825,0.05302445302445303
20260723_224931,process_cpu_max_percent,process_rss_peak_mb,36,0.10775456384489332,0.26037399115780224
20260723_224931,process_cpu_max_percent,system_ram_used_peak_mb,36,-0.026344730307707502,-0.020339855818743563
20260723_224931,process_cpu_max_percent,images_per_hour,36,0.10527681969054566,0.09486420467309865
20260723_224931,process_rss_peak_mb,system_ram_used_peak_mb,36,-0.3468029405046876,-0.2847840528288462
20260723_224931,process_rss_peak_mb,images_per_hour,36,0.823790062881469,0.2847473987257497
20260723_224931,system_ram_used_peak_mb,images_per_hour,36,-0.4012369919964971,-0.29888016723329053
