experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message,image_filename,resolved_image_path,image_exists,gender,ethnicity,is_human,human_raw,gender_raw,ethnicity_raw
20260723_174309,2026-07-23T17:43:18,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P001_w512_h512_seed42.png,9.418722,9.285324,0.133393,9.418722,True,generation,9.423032,46,218.454,0.060681667,nvml_total_energy_counter,21.522326,35.022,50.717391,99.0,41.0,47.0,43.0,35.0,2560.321777,2732.0,3088.617188,102.173913,490.2,8.07,1.83,3107.632812,4858.527344,4858.445312,3855.789062,5475.332031,5475.332031,218.454,0.060681667,382.217453,2560.321777,generated,,P001_w512_h512_seed42.png,outputs/images/20260723_174309/P001_w512_h512_seed42.png,True,female,white,yes,yes,female,white
20260723_174309,2026-07-23T17:43:27,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P001_w512_h512_seed43.png,6.498162,6.342252,0.155903,6.498162,True,generation,6.592088,33,185.044,0.051401111,nvml_total_energy_counter,26.572667,35.021,71.787879,99.0,43.0,48.0,47.0,35.0,2560.384277,2728.0,3084.617188,102.760606,351.6,6.21,0.77,4858.460938,5103.421875,5103.339844,5475.234375,5720.785156,5720.785156,185.044,0.051401111,554.002767,2560.384277,generated,,P001_w512_h512_seed43.png,outputs/images/20260723_174309/P001_w512_h512_seed43.png,True,male,asian,yes,yes,male,asian
20260723_174309,2026-07-23T17:43:35,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P001_w512_h512_seed44.png,6.564594,6.220829,0.34376,6.564594,True,generation,6.571854,32,192.729,0.053535833,nvml_total_energy_counter,28.144938,34.983,70.78125,98.0,44.0,49.0,46.0,35.0,2560.384277,2728.0,3084.617188,109.25625,287.0,6.33,0.67,5103.339844,5154.714844,5154.632812,5720.785156,5778.0625,5778.0625,192.729,0.053535833,548.396428,2560.384277,generated,,P001_w512_h512_seed44.png,outputs/images/20260723_174309/P001_w512_h512_seed44.png,True,male,white,yes,yes,male,white
20260723_174309,2026-07-23T17:43:42,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P001_w512_h512_seed45.png,6.435471,6.2311,0.204363,6.435471,True,generation,6.447726,32,194.912,0.054142222,nvml_total_energy_counter,27.922469,35.125,72.15625,98.0,45.0,50.0,46.0,35.0,2560.384277,2728.0,3084.617188,109.6875,380.0,6.76,0.52,5154.632812,5154.714844,5118.632812,5778.0625,5778.0625,5735.523438,194.912,0.054142222,559.399628,2560.384277,generated,,P001_w512_h512_seed45.png,outputs/images/20260723_174309/P001_w512_h512_seed45.png,True,male,white,yes,yes,male,white
20260723_174309,2026-07-23T17:43:48,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P001_w512_h512_seed46.png,6.257999,6.045761,0.21223,6.257999,True,generation,6.270676,31,188.797,0.052443611,nvml_total_energy_counter,28.282129,34.991,76.548387,99.0,46.0,51.0,47.0,35.0,2560.384277,2728.0,3084.617188,105.832258,321.6,6.05,0.5,5118.632812,5145.714844,5145.632812,5735.523438,5764.824219,5764.824219,188.797,0.052443611,575.263772,2560.384277,generated,,P001_w512_h512_seed46.png,outputs/images/20260723_174309/P001_w512_h512_seed46.png,True,male,white,yes,yes,male,caucasian
20260723_174309,2026-07-23T17:43:55,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P001_w512_h512_seed47.png,6.423508,6.247534,0.175968,6.423508,True,generation,6.43208,31,190.379,0.052883056,nvml_total_energy_counter,28.672581,35.452,74.451613,99.0,47.0,52.0,50.0,35.0,2560.384277,2728.0,3084.617188,106.390323,399.4,6.51,0.39,5145.632812,5145.714844,5145.632812,5764.824219,5767.71875,5767.71875,190.379,0.052883056,560.441462,2560.384277,generated,,P001_w512_h512_seed47.png,outputs/images/20260723_174309/P001_w512_h512_seed47.png,True,male,white,yes,yes,male,caucasian
20260723_174309,2026-07-23T17:44:02,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P002_w512_h512_seed42.png,6.838307,6.443788,0.394514,6.838307,True,generation,6.872083,34,201.468,0.055963333,nvml_total_energy_counter,27.400147,35.165,72.058824,100.0,48.0,52.0,49.0,35.0,2560.384277,2728.0,3084.617188,107.929412,356.0,6.37,0.76,5145.632812,5153.835938,5153.753906,5767.660156,5777.871094,5777.871094,201.468,0.055963333,526.446123,2560.384277,generated,,P002_w512_h512_seed42.png,outputs/images/20260723_174309/P002_w512_h512_seed42.png,True,female,white,yes,yes,female,caucasian
20260723_174309,2026-07-23T17:44:09,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P002_w512_h512_seed43.png,6.572862,6.433607,0.13925,6.572862,True,generation,6.588531,32,189.255,0.052570833,nvml_total_energy_counter,27.527625,34.939,73.40625,99.0,48.0,53.0,50.0,35.0,2560.384277,2728.0,3084.617188,105.825,237.3,6.31,0.54,5153.753906,5153.835938,5122.253906,5778.097656,5778.574219,5746.128906,189.255,0.052570833,547.706606,2560.384277,generated,,P002_w512_h512_seed43.png,outputs/images/20260723_174309/P002_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_174309,2026-07-23T17:44:17,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P002_w512_h512_seed44.png,6.251743,6.094501,0.157238,6.251743,True,generation,6.258643,31,190.587,0.052940833,nvml_total_energy_counter,28.74229,34.989,76.516129,98.0,49.0,53.0,51.0,35.0,2560.384277,2728.0,3084.617188,101.783871,334.1,5.97,0.63,5122.253906,5158.335938,5158.253906,5746.128906,5782.65625,5782.5625,190.587,0.052940833,575.83942,2560.384277,generated,,P002_w512_h512_seed44.png,outputs/images/20260723_174309/P002_w512_h512_seed44.png,True,male,white,yes,yes,male,caucasian
20260723_174309,2026-07-23T17:44:23,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.908469,outputs/images/20260723_174309/P002_w512_h512_seed45.png,6.144026,6.003219,0.14078,6.144026,True,generation,6.151617,30,191.118,0.053088333,nvml_total_energy_counter,29.174067,34.982,77.266667,99.0,51.0,54.0,51.0,35.0,2560.384277,2728.0,3084.617188,103.503333,305.5,5.9,0.52,5158.253906,5158.335938,5158.253906,5782.5625,5783.300781,5782.101562,191.118,0.053088333,585.935041,2560.384277,generated,,P002_w512_h512_seed45.png,outputs/images/20260723_174309/P002_w512_h512_seed45.png,True,male,white,yes,yes,male,white
