experiment_id,metric,count,mean,std,cv_percent,min,q1,median,q3,p95,max,sum
20260723_174309,model_load_seconds,36,7.908469000000003,0.0,0.0,7.908469,7.908469,7.908469,7.908469,7.908469,7.908469,284.7048840000001
20260723_174309,inference_seconds,36,6.342772833333332,0.5257339538113766,8.288708544762533,6.003219,6.1650105,6.239317,6.35755325,6.5908355,9.285324,228.33982199999997
20260723_174309,image_save_seconds,36,0.18640516666666668,0.06381472835034693,34.234420371223756,0.082309,0.13950275,0.172311,0.21218575,0.30055175,0.394514,6.710586
20260723_174309,generation_total_seconds,36,6.529184083333333,0.5247809631749981,8.037466189911475,6.144026,6.30373225,6.4227755,6.5277035,6.86301775,9.418722,235.050627
20260723_174309,execution_time_seconds,36,6.529184083333333,0.5247809631749981,8.037466189911475,6.144026,6.30373225,6.4227755,6.5277035,6.86301775,9.418722,235.050627
20260723_174309,monitoring_duration_seconds,36,6.540976444444444,0.5245683187878495,8.019724933169417,6.151617,6.3105395,6.4318875,6.545748,6.89037025,9.423032,235.47515199999998
20260723_174309,gpu_energy_j,36,196.41125000000002,6.105181075470714,3.1083662852666096,185.044,192.5335,196.59550000000002,198.7535,204.72025,218.454,7070.805000000001
20260723_174309,gpu_energy_wh,36,0.05455868052777778,0.0016958836902278833,3.1083663934366013,0.051401111,0.0534815275,0.054609861,0.05520930575,0.05686673575,0.060681667,1.964112499
20260723_174309,joules_per_image,36,196.41125000000002,6.105181075470714,3.1083662852666096,185.044,192.5335,196.59550000000002,198.7535,204.72025,218.454,7070.805000000001
20260723_174309,wh_per_image,36,0.05455868052777778,0.0016958836902278833,3.1083663934366013,0.051401111,0.0534815275,0.054609861,0.05520930575,0.05686673575,0.060681667,1.964112499
20260723_174309,gpu_power_mean_w,36,28.324633999999996,1.3081236121500575,4.618324855142197,21.522326,28.22412075,28.578765500000003,28.864031999999998,29.30000825,29.447067,1019.6868239999999
20260723_174309,gpu_power_max_w,36,35.039611111111114,0.12655959133439892,0.3611900569703146,34.878,34.96575,35.0085,35.08525,35.2875,35.452,1261.4260000000002
20260723_174309,gpu_utilization_mean_percent,36,74.96664219444443,4.700589029990791,6.270240859659496,50.717391,74.29183474999999,76.237903,76.69556425,78.9491935,79.125,2698.799119
20260723_174309,gpu_utilization_max_percent,36,98.94444444444444,0.6737716630790094,0.6809595696475109,98.0,98.75,99.0,99.0,100.0,100.0,3562.0
