experiment_id,metric,value,lower_bound,upper_bound,iqr_multiplier,generation_order,image_id,prompt_id,seed,status
20260723_174309,generation_total_seconds,9.418722,5.967775375,6.863660375,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,generation_total_seconds,6.93715,5.967775375,6.863660375,1.5,35,P006_w512_h512_seed46,P006,46,generated
20260723_174309,inference_seconds,9.285324,5.876196375000001,6.646367374999999,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,inference_seconds,6.725867,5.876196375000001,6.646367374999999,1.5,35,P006_w512_h512_seed46,P006,46,generated
20260723_174309,image_save_seconds,0.34376,0.030478250000000012,0.32121025000000003,1.5,3,P001_w512_h512_seed44,P001,44,generated
20260723_174309,image_save_seconds,0.394514,0.030478250000000012,0.32121025000000003,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_174309,gpu_energy_j,218.454,183.20350000000002,208.08350000000002,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,gpu_energy_wh,0.060681667,0.050889860125000005,0.057800973125,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,gpu_power_mean_w,21.522326,27.264253875000005,29.823898874999994,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,gpu_power_mean_w,26.572667,27.264253875000005,29.823898874999994,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_174309,gpu_power_max_w,35.452,34.7865,35.264500000000005,1.5,6,P001_w512_h512_seed47,P001,47,generated
20260723_174309,gpu_power_max_w,35.4,34.7865,35.264500000000005,1.5,36,P006_w512_h512_seed47,P006,47,generated
20260723_174309,gpu_utilization_mean_percent,50.717391,70.68624049999997,80.30115850000001,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,3,P001_w512_h512_seed44,P001,44,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_174309,gpu_utilization_max_percent,100.0,98.375,99.375,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,9,P002_w512_h512_seed44,P002,44,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,13,P003_w512_h512_seed42,P003,42,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,15,P003_w512_h512_seed44,P003,44,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,16,P003_w512_h512_seed45,P003,45,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,17,P003_w512_h512_seed46,P003,46,generated
20260723_174309,gpu_utilization_max_percent,100.0,98.375,99.375,1.5,18,P003_w512_h512_seed47,P003,47,generated
20260723_174309,gpu_utilization_max_percent,100.0,98.375,99.375,1.5,20,P004_w512_h512_seed43,P004,43,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,22,P004_w512_h512_seed45,P004,45,generated
20260723_174309,gpu_utilization_max_percent,98.0,98.375,99.375,1.5,23,P004_w512_h512_seed46,P004,46,generated
20260723_174309,gpu_utilization_max_percent,100.0,98.375,99.375,1.5,26,P005_w512_h512_seed43,P005,43,generated
20260723_174309,gpu_utilization_max_percent,100.0,98.375,99.375,1.5,27,P005_w512_h512_seed44,P005,44,generated
20260723_174309,gpu_utilization_max_percent,100.0,98.375,99.375,1.5,30,P005_w512_h512_seed47,P005,47,generated
20260723_174309,gpu_utilization_max_percent,100.0,98.375,99.375,1.5,34,P006_w512_h512_seed45,P006,45,generated
20260723_174309,torch_peak_allocated_vram_mb,2560.321777,2560.384277,2560.384277,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,torch_peak_reserved_vram_mb,2732.0,2728.0,2728.0,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,nvml_peak_used_vram_mb,3088.617188,3084.617188,3084.617188,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,process_cpu_max_percent,490.2,176.43749999999994,470.33750000000003,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,process_cpu_max_percent,483.1,176.43749999999994,470.33750000000003,1.5,23,P004_w512_h512_seed46,P004,46,generated
20260723_174309,process_cpu_max_percent,556.7,176.43749999999994,470.33750000000003,1.5,30,P005_w512_h512_seed47,P005,47,generated
20260723_174309,process_rss_peak_mb,4858.527344,5118.97119025,5188.318848249999,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,process_rss_peak_mb,5103.421875,5118.97119025,5188.318848249999,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_174309,process_rss_peak_mb,5240.683594,5118.97119025,5188.318848249999,1.5,20,P004_w512_h512_seed43,P004,43,generated
20260723_174309,process_rss_peak_mb,5240.683594,5118.97119025,5188.318848249999,1.5,21,P004_w512_h512_seed44,P004,44,generated
20260723_174309,process_rss_peak_mb,5249.980469,5118.97119025,5188.318848249999,1.5,36,P006_w512_h512_seed47,P006,47,generated
20260723_174309,system_ram_used_peak_mb,5475.332031,5734.015137125001,5829.315918124999,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,system_ram_used_peak_mb,5720.785156,5734.015137125001,5829.315918124999,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_174309,system_ram_used_peak_mb,5866.859375,5734.015137125001,5829.315918124999,1.5,20,P004_w512_h512_seed43,P004,43,generated
20260723_174309,system_ram_used_peak_mb,5866.839844,5734.015137125001,5829.315918124999,1.5,21,P004_w512_h512_seed44,P004,44,generated
20260723_174309,system_ram_used_peak_mb,5881.835938,5734.015137125001,5829.315918124999,1.5,36,P006_w512_h512_seed47,P006,47,generated
20260723_174309,images_per_hour,382.217453,522.1032090000001,600.483019,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_174309,images_per_hour,518.945135,522.1032090000001,600.483019,1.5,35,P006_w512_h512_seed46,P006,46,generated
