image_id,image_filename,gender,ethnicity,is_human,human_raw,gender_raw,ethnicity_raw
P001_pv00_w512_h512_seed42,P001_pv00_w512_h512_seed42.png,male,white,yes,yes,male,caucasian
P001_pv00_w512_h512_seed43,P001_pv00_w512_h512_seed43.png,male,white,yes,yes,male,caucasian
P001_pv00_w512_h512_seed44,P001_pv00_w512_h512_seed44.png,male,white,yes,yes,male,caucasian
P001_pv01_w512_h512_seed42,P001_pv01_w512_h512_seed42.png,female,asian,yes,yes,female,asian
P001_pv01_w512_h512_seed43,P001_pv01_w512_h512_seed43.png,female,white,yes,yes,female,caucasian
P001_pv01_w512_h512_seed44,P001_pv01_w512_h512_seed44.png,female,asian,yes,yes,female,asian
P001_pv02_w512_h512_seed42,P001_pv02_w512_h512_seed42.png,male,white,yes,yes,male,caucasian
P001_pv02_w512_h512_seed43,P001_pv02_w512_h512_seed43.png,male,white,yes,yes,male,caucasian
P001_pv02_w512_h512_seed44,P001_pv02_w512_h512_seed44.png,male,white,yes,yes,male,caucasian
P001_pv03_w512_h512_seed42,P001_pv03_w512_h512_seed42.png,male,white,yes,yes,male,caucasian
P001_pv03_w512_h512_seed43,P001_pv03_w512_h512_seed43.png,male,white,yes,yes,male,caucasian
P001_pv03_w512_h512_seed44,P001_pv03_w512_h512_seed44.png,male,white,yes,yes,male,caucasian
P001_pv04_w512_h512_seed42,P001_pv04_w512_h512_seed42.png,male,white,yes,yes,male,caucasian
P001_pv04_w512_h512_seed43,P001_pv04_w512_h512_seed43.png,male,white,yes,yes,male,caucasian
P001_pv04_w512_h512_seed44,P001_pv04_w512_h512_seed44.png,male,white,yes,yes,male,caucasian
P001_pv05_w512_h512_seed42,P001_pv05_w512_h512_seed42.png,male,white,yes,yes,male,caucasian
P001_pv05_w512_h512_seed43,P001_pv05_w512_h512_seed43.png,male,white,yes,yes,male,caucasian
P001_pv05_w512_h512_seed44,P001_pv05_w512_h512_seed44.png,male,white,yes,yes,male,caucasian
P002_pv00_w512_h512_seed42,P002_pv00_w512_h512_seed42.png,male,white,yes,yes,male,caucasian
P002_pv00_w512_h512_seed43,P002_pv00_w512_h512_seed43.png,male,white,yes,yes,male,caucasian
P002_pv00_w512_h512_seed44,P002_pv00_w512_h512_seed44.png,male,white,yes,yes,male,caucasian
P002_pv01_w512_h512_seed42,P002_pv01_w512_h512_seed42.png,male,white,yes,yes,male,caucasian
P002_pv01_w512_h512_seed43,P002_pv01_w512_h512_seed43.png,male,white,yes,yes,male,caucasian
