experiment_id,metric,value,lower_bound,upper_bound,iqr_multiplier,generation_order,image_id,prompt_id,seed,status
20260723_200841,generation_total_seconds,7.160752,3.948899625,4.810292625,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,generation_total_seconds,6.804518,3.948899625,4.810292625,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_200841,generation_total_seconds,4.933894,3.948899625,4.810292625,1.5,3,P001_w512_h512_seed44,P001,44,generated
20260723_200841,inference_seconds,6.803736,3.8868853750000003,4.604090375,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,inference_seconds,6.590391,3.8868853750000003,4.604090375,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_200841,inference_seconds,4.706681,3.8868853750000003,4.604090375,1.5,3,P001_w512_h512_seed44,P001,44,generated
20260723_200841,image_save_seconds,0.357011,0.001045499999999977,0.28545550000000003,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,image_save_seconds,0.334879,0.001045499999999977,0.28545550000000003,1.5,20,P004_w512_h512_seed43,P004,43,generated
20260723_200841,gpu_energy_j,149.287,108.2065,139.78249999999997,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,gpu_energy_wh,0.041468611,0.03005736175,0.038828471749999996,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,gpu_power_mean_w,17.581389,24.031719875000004,26.984588874999996,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,gpu_power_mean_w,17.098886,24.031719875000004,26.984588874999996,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_200841,gpu_power_mean_w,23.69604,24.031719875000004,26.984588874999996,1.5,3,P001_w512_h512_seed44,P001,44,generated
20260723_200841,gpu_power_max_w,35.358,34.8235,35.2635,1.5,13,P003_w512_h512_seed42,P003,42,generated
20260723_200841,gpu_power_max_w,35.268,34.8235,35.2635,1.5,14,P003_w512_h512_seed43,P003,43,generated
20260723_200841,gpu_power_max_w,35.469,34.8235,35.2635,1.5,16,P003_w512_h512_seed45,P003,45,generated
20260723_200841,gpu_power_max_w,35.385,34.8235,35.2635,1.5,25,P005_w512_h512_seed42,P005,42,generated
20260723_200841,gpu_power_max_w,35.319,34.8235,35.2635,1.5,27,P005_w512_h512_seed44,P005,44,generated
20260723_200841,gpu_utilization_mean_percent,44.555556,60.58232400000001,79.46424199999998,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,gpu_utilization_mean_percent,53.085714,60.58232400000001,79.46424199999998,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_200841,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,26,P005_w512_h512_seed43,P005,43,generated
20260723_200841,gpu_utilization_max_percent,99.0,100.0,100.0,1.5,27,P005_w512_h512_seed44,P005,44,generated
20260723_200841,gpu_temperature_max_c,57.0,57.5,69.5,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,process_cpu_mean_percent,123.995652,94.23231349999999,120.88527549999999,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_200841,process_cpu_max_percent,700.8,192.30000000000007,532.9,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_200841,process_cpu_max_percent,583.3,192.30000000000007,532.9,1.5,20,P004_w512_h512_seed43,P004,43,generated
20260723_200841,process_rss_peak_mb,5700.070312,6297.7558595,6563.2089835,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,system_ram_used_peak_mb,5612.464844,6412.106933749999,6605.634277750001,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,images_per_hour,502.740519,741.5992971250002,903.3887361249999,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200841,images_per_hour,529.060271,741.5992971250002,903.3887361249999,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_200841,images_per_hour,729.646821,741.5992971250002,903.3887361249999,1.5,3,P001_w512_h512_seed44,P001,44,generated
