experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message,_generation_source_file,generation_order,successful_generation_order
20260723_200841,2026-07-23T20:08:51,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P001_w512_h512_seed42.png,7.160752,6.803736,0.357011,7.160752,True,generation,7.167216,36,149.287,0.041468611,nvml_total_energy_counter,17.581389,35.067,44.555556,99.0,51.0,57.0,54.0,35.0,1548.63916,1946.0,2302.617188,94.522222,372.0,4.31,2.66,4165.074219,5700.070312,5644.050781,4154.042969,5612.464844,5547.210938,149.287,0.041468611,502.740519,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,1,1.0
20260723_200841,2026-07-23T20:09:00,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P001_w512_h512_seed43.png,6.804518,6.590391,0.21412,6.804518,True,generation,6.81421,35,131.612,0.036558889,nvml_total_energy_counter,17.098886,35.008,53.085714,100.0,52.0,59.0,59.0,35.0,1548.63916,1946.0,2302.617188,100.194286,287.4,4.2,2.68,5628.507812,6513.136719,6513.054688,5544.363281,6474.570312,6473.601562,131.612,0.036558889,529.060271,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,2,2.0
20260723_200841,2026-07-23T20:09:07,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P001_w512_h512_seed44.png,4.933894,4.706681,0.227209,4.933894,True,generation,4.938976,25,126.194,0.035053889,nvml_total_energy_counter,23.69604,35.075,63.36,100.0,54.0,59.0,55.0,35.0,1548.63916,1946.0,2302.617188,116.644,451.4,4.84,1.05,6513.371094,6513.699219,6479.832031,6473.265625,6510.121094,6507.773438,126.194,0.035053889,729.646821,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,3,3.0
20260723_200841,2026-07-23T20:09:13,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P001_w512_h512_seed45.png,4.217638,4.105922,0.111711,4.217638,True,generation,4.229442,22,115.528,0.032091111,nvml_total_energy_counter,25.048091,35.056,72.409091,100.0,54.0,59.0,58.0,35.0,1548.63916,1946.0,2302.617188,107.404545,311.7,3.47,1.0,6479.839844,6488.34375,6446.070312,6505.789062,6524.199219,6472.339844,115.528,0.032091111,853.558226,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,4,4.0
20260723_200841,2026-07-23T20:09:17,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P001_w512_h512_seed46.png,4.452793,4.276302,0.176487,4.452793,True,generation,4.461186,23,120.68,0.033522222,nvml_total_energy_counter,25.348087,34.981,70.869565,100.0,55.0,60.0,60.0,35.0,1548.63916,1946.0,2302.617188,110.943478,374.2,4.05,0.95,6446.070312,6490.722656,6473.914062,6472.339844,6527.859375,6506.730469,120.68,0.033522222,808.48139,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,5,5.0
20260723_200841,2026-07-23T20:09:22,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P001_w512_h512_seed47.png,4.40339,4.263077,0.140309,4.40339,True,generation,4.41377,23,120.275,0.033409722,nvml_total_energy_counter,24.396087,35.012,68.043478,100.0,55.0,60.0,59.0,35.0,1548.63916,1946.0,2302.617188,108.030435,262.5,3.93,0.84,6473.917969,6474.253906,6470.46875,6506.730469,6507.46875,6506.472656,120.275,0.033409722,817.55193,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,6,6.0
20260723_200841,2026-07-23T20:09:27,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P002_w512_h512_seed42.png,4.484714,4.383299,0.101411,4.484714,True,generation,4.497027,23,120.048,0.033346667,nvml_total_energy_counter,25.211565,35.079,66.478261,100.0,56.0,61.0,60.0,35.0,1548.63916,1946.0,2302.617188,123.995652,700.8,4.45,1.06,6470.617188,6471.0,6464.511719,6506.234375,6523.714844,6523.597656,120.048,0.033346667,802.726851,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,7,7.0
20260723_200841,2026-07-23T20:09:32,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P002_w512_h512_seed43.png,4.238104,4.128507,0.109594,4.238104,True,generation,4.249084,22,115.896,0.032193333,nvml_total_energy_counter,25.611955,35.124,73.318182,100.0,57.0,61.0,58.0,35.0,1548.63916,1946.0,2302.617188,110.727273,371.8,3.71,0.93,6464.519531,6464.601562,6463.269531,6523.597656,6532.007812,6532.007812,115.896,0.032193333,849.436405,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,8,8.0
20260723_200841,2026-07-23T20:09:37,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P002_w512_h512_seed44.png,4.167927,4.045619,0.122305,4.167927,True,generation,4.174669,22,116.394,0.032331667,nvml_total_energy_counter,25.169364,35.013,71.818182,100.0,57.0,62.0,61.0,35.0,1548.63916,1946.0,2302.617188,105.681818,266.5,3.61,0.84,6463.269531,6463.351562,6463.269531,6531.996094,6533.042969,6532.898438,116.394,0.032331667,863.73878,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,9,9.0
20260723_200841,2026-07-23T20:09:42,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P002_w512_h512_seed45.png,4.206706,4.063756,0.142947,4.206706,True,generation,4.212726,22,123.638,0.034343889,nvml_total_energy_counter,25.877045,35.023,74.318182,100.0,57.0,62.0,58.0,35.0,1548.63916,1946.0,2302.617188,106.027273,297.1,3.6,0.84,6463.269531,6463.351562,6375.765625,6532.878906,6533.117188,6453.039062,123.638,0.034343889,855.776377,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,10,10.0
