experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message,image_filename,resolved_image_path,image_exists,gender,ethnicity,is_human,human_raw,gender_raw,ethnicity_raw
20260723_224105,2026-07-23T22:41:21,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P001_w512_h512_seed42.png,4.812923,4.391353,0.421558,4.812923,True,generation,4.818369,9,123.107,0.034196389,nvml_total_energy_counter,5.717111,25.571,17.0,58.0,47.0,50.0,50.0,45.0,3371.663086,3856.0,4212.617188,78.644444,119.1,3.56,1.69,1319.957031,1941.230469,1941.230469,1337.214844,1904.511719,1904.511719,123.107,0.034196389,747.986175,3371.663086,generated,,P001_w512_h512_seed42.png,outputs/images/20260723_224105/P001_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:26,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P001_w512_h512_seed43.png,2.471778,2.291866,0.179907,2.471778,True,generation,2.47854,5,113.167,0.031435278,nvml_total_energy_counter,24.847,41.452,65.6,99.0,50.0,55.0,54.0,45.0,3371.663086,3856.0,4212.617188,104.32,112.7,2.0,0.61,1941.230469,1941.3125,1941.230469,1903.464844,1903.464844,1901.285156,113.167,0.031435278,1456.441539,3371.663086,generated,,P001_w512_h512_seed43.png,outputs/images/20260723_224105/P001_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:29,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P001_w512_h512_seed44.png,2.751092,2.469778,0.281309,2.751092,True,generation,2.762821,15,115.134,0.031981667,nvml_total_energy_counter,36.910133,44.955,74.133333,99.0,51.0,57.0,56.0,45.0,3371.663086,3856.0,4212.617188,101.4,212.2,2.2,0.57,1941.230469,1941.3125,1941.230469,1901.410156,1901.410156,1898.964844,115.134,0.031981667,1308.571218,3371.663086,generated,,P001_w512_h512_seed44.png,outputs/images/20260723_224105/P001_w512_h512_seed44.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:33,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P001_w512_h512_seed45.png,2.749188,2.468405,0.280778,2.749188,True,generation,2.756232,15,112.217,0.031171389,nvml_total_energy_counter,36.251,45.03,73.066667,98.0,51.0,58.0,58.0,45.0,3371.663086,3856.0,4212.617188,98.193333,283.9,2.6,0.32,1941.230469,1941.3125,1941.230469,1899.394531,1899.640625,1897.761719,112.217,0.031171389,1309.477764,3371.663086,generated,,P001_w512_h512_seed45.png,outputs/images/20260723_224105/P001_w512_h512_seed45.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:36,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P001_w512_h512_seed46.png,2.698981,2.487208,0.211768,2.698981,True,generation,2.709046,10,108.163,0.030045278,nvml_total_energy_counter,35.358,45.07,81.3,99.0,52.0,58.0,58.0,45.0,3371.663086,3856.0,4212.617188,94.37,105.4,2.17,0.47,1941.230469,1941.3125,1941.230469,1897.761719,1900.34375,1900.34375,108.163,0.030045278,1333.836507,3371.663086,generated,,P001_w512_h512_seed46.png,outputs/images/20260723_224105/P001_w512_h512_seed46.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:39,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P001_w512_h512_seed47.png,2.928829,2.546677,0.382146,2.928829,True,generation,2.942726,15,108.68,0.030188889,nvml_total_energy_counter,37.426933,45.151,80.533333,98.0,53.0,59.0,59.0,45.0,3371.663086,3856.0,4212.617188,103.206667,242.9,2.44,0.54,1941.230469,1941.3125,1941.230469,1899.945312,1900.191406,1895.160156,108.68,0.030188889,1229.160066,3371.663086,generated,,P001_w512_h512_seed47.png,outputs/images/20260723_224105/P001_w512_h512_seed47.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:42,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P002_w512_h512_seed42.png,2.784805,2.496135,0.288662,2.784805,True,generation,2.790865,4,105.362,0.029267222,nvml_total_energy_counter,21.70625,38.498,19.5,39.0,53.0,55.0,55.0,45.0,3371.663086,3856.0,4212.617188,111.225,136.8,2.74,0.47,1941.230469,1941.3125,1941.230469,1894.167969,1900.839844,1900.839844,105.362,0.029267222,1292.729522,3371.663086,generated,,P002_w512_h512_seed42.png,outputs/images/20260723_224105/P002_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:45,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P002_w512_h512_seed43.png,2.756196,2.568601,0.187584,2.756196,True,generation,2.764205,14,111.222,0.030895,nvml_total_energy_counter,38.069357,45.097,86.285714,99.0,55.0,60.0,55.0,45.0,3371.663086,3856.0,4212.617188,120.342857,404.0,2.67,0.6,1941.230469,1941.3125,1941.230469,1900.839844,1906.652344,1906.652344,111.222,0.030895,1306.148116,3371.663086,generated,,P002_w512_h512_seed43.png,outputs/images/20260723_224105/P002_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:48,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P002_w512_h512_seed44.png,2.726085,2.48153,0.244554,2.726085,True,generation,2.735352,14,109.19,0.030330556,nvml_total_energy_counter,37.754071,45.045,81.857143,99.0,55.0,60.0,60.0,45.0,3371.663086,3856.0,4212.617188,112.157143,250.9,2.41,0.45,1941.230469,1941.3125,1941.230469,1906.652344,1906.875,1903.984375,109.19,0.030330556,1320.574904,3371.663086,generated,,P002_w512_h512_seed44.png,outputs/images/20260723_224105/P002_w512_h512_seed44.png,True,male,white,yes,yes,male,caucasian
20260723_224105,2026-07-23T22:41:51,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,15.167417,outputs/images/20260723_224105/P002_w512_h512_seed45.png,2.685452,2.495078,0.19037,2.685452,True,generation,2.691032,10,104.039,0.028899722,nvml_total_energy_counter,34.2458,45.03,71.4,99.0,55.0,60.0,60.0,45.0,3371.663086,3856.0,4212.617188,93.55,110.5,2.26,0.44,1941.230469,1941.3125,1941.230469,1901.300781,1906.882812,1906.882812,104.039,0.028899722,1340.556596,3371.663086,generated,,P002_w512_h512_seed45.png,outputs/images/20260723_224105/P002_w512_h512_seed45.png,True,male,white,yes,yes,male,caucasian
