experiment_id,metric_a,metric_b,observations,pearson_correlation,spearman_correlation
20260723_224105,generation_total_seconds,inference_seconds,36,0.9808065322218229,0.693951093951094
20260723_224105,generation_total_seconds,image_save_seconds,36,0.5484002173751003,0.6036036036036037
20260723_224105,generation_total_seconds,gpu_energy_j,36,0.24082071059449697,-0.1003861003861004
20260723_224105,generation_total_seconds,gpu_energy_wh,36,0.24082073062021978,-0.1003861003861004
20260723_224105,generation_total_seconds,gpu_power_mean_w,36,-0.7367277223953284,-0.1976833976833977
20260723_224105,generation_total_seconds,gpu_power_max_w,36,-0.7376492606448679,-0.24879335916117187
20260723_224105,generation_total_seconds,gpu_utilization_mean_percent,36,-0.3945366572694584,-0.19503090244772536
20260723_224105,generation_total_seconds,gpu_utilization_max_percent,36,-0.2717719514352784,-0.317558147182073
20260723_224105,generation_total_seconds,gpu_temperature_max_c,36,-0.5984715073854129,-0.667277052549099
20260723_224105,generation_total_seconds,process_cpu_mean_percent,36,-0.5120697083282114,-0.36344916344916345
20260723_224105,generation_total_seconds,process_cpu_max_percent,36,-0.16271842521466062,-0.09703989703989704
20260723_224105,generation_total_seconds,process_rss_peak_mb,36,-0.9594576397284733,-0.2847473987257497
20260723_224105,generation_total_seconds,system_ram_used_peak_mb,36,0.2542459445626036,0.4494208494208495
20260723_224105,generation_total_seconds,images_per_hour,36,-0.9809605595750697,-1.0
20260723_224105,inference_seconds,image_save_seconds,36,0.37482623347480953,0.02110682110682111
20260723_224105,inference_seconds,gpu_energy_j,36,0.2543761705028391,-0.19202059202059202
20260723_224105,inference_seconds,gpu_energy_wh,36,0.25437618394624445,-0.19202059202059202
20260723_224105,inference_seconds,gpu_power_mean_w,36,-0.7170299052952851,-0.05740025740025741
20260723_224105,inference_seconds,gpu_power_max_w,36,-0.6942038854657496,-0.18212240207607772
20260723_224105,inference_seconds,gpu_utilization_mean_percent,36,-0.3190794750408665,0.05522657237628658
20260723_224105,inference_seconds,gpu_utilization_max_percent,36,-0.1862396310060803,-0.18688020557088145
20260723_224105,inference_seconds,gpu_temperature_max_c,36,-0.5618819459702128,-0.4436015437504279
20260723_224105,inference_seconds,process_cpu_mean_percent,36,-0.5162941589599401,-0.322007722007722
20260723_224105,inference_seconds,process_cpu_max_percent,36,-0.1520902557252752,-0.017503217503217504
20260723_224105,inference_seconds,process_rss_peak_mb,36,-0.972969110194921,-0.2847473987257497
20260723_224105,inference_seconds,system_ram_used_peak_mb,36,0.2778348381361289,0.4970398970398971
20260723_224105,inference_seconds,images_per_hour,36,-0.941156355262063,-0.693951093951094
20260723_224105,image_save_seconds,gpu_energy_j,36,0.05410925798694376,0.08597168597168597
20260723_224105,image_save_seconds,gpu_energy_wh,36,0.05410929555277026,0.08597168597168597
20260723_224105,image_save_seconds,gpu_power_mean_w,36,-0.4278513636140987,-0.2555984555984556
20260723_224105,image_save_seconds,gpu_power_max_w,36,-0.5301259909033837,-0.12986678706343632
20260723_224105,image_save_seconds,gpu_utilization_mean_percent,36,-0.5074955933585741,-0.3973996012251671
20260723_224105,image_save_seconds,gpu_utilization_max_percent,36,-0.493485867939162,-0.3046592669290294
20260723_224105,image_save_seconds,gpu_temperature_max_c,36,-0.43587187321109366,-0.23867340418632757
20260723_224105,image_save_seconds,process_cpu_mean_percent,36,-0.22056534394547522,-0.020077220077220077
20260723_224105,image_save_seconds,process_cpu_max_percent,36,-0.12143658254191125,0.0036036036036036037
20260723_224105,image_save_seconds,process_rss_peak_mb,36,-0.389243587916064,-0.2847473987257497
20260723_224105,image_save_seconds,system_ram_used_peak_mb,36,0.01734458601893387,-0.06126126126126127
20260723_224105,image_save_seconds,images_per_hour,36,-0.6279186769795138,-0.6036036036036037
20260723_224105,gpu_energy_j,gpu_energy_wh,36,0.9999999999999796,1.0
20260723_224105,gpu_energy_j,gpu_power_mean_w,36,-0.18166977846169247,-0.21287001287001286
20260723_224105,gpu_energy_j,gpu_power_max_w,36,-0.21727794631535047,-0.20065641331208844
20260723_224105,gpu_energy_j,gpu_utilization_mean_percent,36,-0.08813041776981956,-0.11392894301401776
20260723_224105,gpu_energy_j,gpu_utilization_max_percent,36,-0.050630635947568586,-0.13236708069194722
20260723_224105,gpu_energy_j,gpu_temperature_max_c,36,0.06692362545270358,0.1422214217795018
20260723_224105,gpu_energy_j,process_cpu_mean_percent,36,-0.1527777233271774,-0.08262548262548262
20260723_224105,gpu_energy_j,process_cpu_max_percent,36,-0.08978094859737062,-0.07001287001287002
20260723_224105,gpu_energy_j,process_rss_peak_mb,36,-0.29014451221166576,-0.2522048388713783
20260723_224105,gpu_energy_j,system_ram_used_peak_mb,36,-0.027092469257864574,-0.07104247104247104
20260723_224105,gpu_energy_j,images_per_hour,36,-0.19644092030443244,0.1003861003861004
20260723_224105,gpu_energy_wh,gpu_power_mean_w,36,-0.1816697822934127,-0.21287001287001286
20260723_224105,gpu_energy_wh,gpu_power_max_w,36,-0.21727796409994407,-0.20065641331208844
20260723_224105,gpu_energy_wh,gpu_utilization_mean_percent,36,-0.08813042846396425,-0.11392894301401776
20260723_224105,gpu_energy_wh,gpu_utilization_max_percent,36,-0.050630655248084154,-0.13236708069194722
20260723_224105,gpu_energy_wh,gpu_temperature_max_c,36,0.06692358573199883,0.1422214217795018
20260723_224105,gpu_energy_wh,process_cpu_mean_percent,36,-0.15277775496224974,-0.08262548262548262
20260723_224105,gpu_energy_wh,process_cpu_max_percent,36,-0.08978096928034,-0.07001287001287002
20260723_224105,gpu_energy_wh,process_rss_peak_mb,36,-0.2901445240934029,-0.2522048388713783
20260723_224105,gpu_energy_wh,system_ram_used_peak_mb,36,-0.027092428138391918,-0.07104247104247104
20260723_224105,gpu_energy_wh,images_per_hour,36,-0.196440945650625,0.1003861003861004
20260723_224105,gpu_power_mean_w,gpu_power_max_w,36,0.9154684478420955,0.6746894923553352
20260723_224105,gpu_power_mean_w,gpu_utilization_mean_percent,36,0.7610393785361512,0.7609423527184849
20260723_224105,gpu_power_mean_w,gpu_utilization_max_percent,36,0.5909435996736142,0.602869093731537
20260723_224105,gpu_power_mean_w,gpu_temperature_max_c,36,0.5650414580850038,0.3470202691419844
20260723_224105,gpu_power_mean_w,process_cpu_mean_percent,36,0.4002250956895031,0.33256113256113257
20260723_224105,gpu_power_mean_w,process_cpu_max_percent,36,0.4825704213615072,0.7593307593307593
20260723_224105,gpu_power_mean_w,process_rss_peak_mb,36,0.7450304902479599,0.2847473987257497
20260723_224105,gpu_power_mean_w,system_ram_used_peak_mb,36,-0.17579644049186205,-0.09832689832689835
20260723_224105,gpu_power_mean_w,images_per_hour,36,0.69143496720777,0.1976833976833977
20260723_224105,gpu_power_max_w,gpu_utilization_mean_percent,36,0.8364560744880912,0.690569694241151
20260723_224105,gpu_power_max_w,gpu_utilization_max_percent,36,0.7332318213899833,0.6740098671954576
20260723_224105,gpu_power_max_w,gpu_temperature_max_c,36,0.5388149222634367,0.5329121029990377
20260723_224105,gpu_power_max_w,process_cpu_mean_percent,36,0.35662849686390574,0.18431044506921784
20260723_224105,gpu_power_max_w,process_cpu_max_percent,36,0.40018322700055253,0.5002895949609286
20260723_224105,gpu_power_max_w,process_rss_peak_mb,36,0.7182103962139974,0.28476572400804984
20260723_224105,gpu_power_max_w,system_ram_used_peak_mb,36,-0.2120922592054591,-0.24609048252258697
20260723_224105,gpu_power_max_w,images_per_hour,36,0.7115572623036331,0.24879335916117185
20260723_224105,gpu_utilization_mean_percent,gpu_utilization_max_percent,36,0.9552008709085597,0.6698393054759381
20260723_224105,gpu_utilization_mean_percent,gpu_temperature_max_c,36,0.3785826686749176,0.2427439528359773
20260723_224105,gpu_utilization_mean_percent,process_cpu_mean_percent,36,0.17096739041615816,0.13375386643114628
20260723_224105,gpu_utilization_mean_percent,process_cpu_max_percent,36,0.4473923800586332,0.5157054753832262
20260723_224105,gpu_utilization_mean_percent,process_rss_peak_mb,36,0.3385321302035249,0.23599431176068666
20260723_224105,gpu_utilization_mean_percent,system_ram_used_peak_mb,36,-0.0733896396277446,0.0512358410390724
20260723_224105,gpu_utilization_mean_percent,images_per_hour,36,0.4077600526918019,0.19503090244772534
20260723_224105,gpu_utilization_max_percent,gpu_temperature_max_c,36,0.3278391784764212,0.3312830737394448
20260723_224105,gpu_utilization_max_percent,process_cpu_mean_percent,36,0.0897888774760726,0.2092996879154572
20260723_224105,gpu_utilization_max_percent,process_cpu_max_percent,36,0.3786988154253185,0.4149139814729019
20260723_224105,gpu_utilization_max_percent,process_rss_peak_mb,36,0.18713876962229192,0.26208926256646936
20260723_224105,gpu_utilization_max_percent,system_ram_used_peak_mb,36,-0.07388642907945729,0.05988765831770235
20260723_224105,gpu_utilization_max_percent,images_per_hour,36,0.3095465234969856,0.3175581471820729
20260723_224105,gpu_temperature_max_c,process_cpu_mean_percent,36,0.49743661672580425,0.4585994391380845
20260723_224105,gpu_temperature_max_c,process_cpu_max_percent,36,0.3180607276485275,0.3356425553996243
20260723_224105,gpu_temperature_max_c,process_rss_peak_mb,36,0.47846110035746536,0.2860573525295679
20260723_224105,gpu_temperature_max_c,system_ram_used_peak_mb,36,-0.5145576017464887,-0.5121264106078243
20260723_224105,gpu_temperature_max_c,images_per_hour,36,0.6483591024915331,0.667277052549099
20260723_224105,process_cpu_mean_percent,process_cpu_max_percent,36,0.6796897756004175,0.594079794079794
20260723_224105,process_cpu_mean_percent,process_rss_peak_mb,36,0.4654493442337797,0.2847473987257497
20260723_224105,process_cpu_mean_percent,system_ram_used_peak_mb,36,-0.20400908779378912,-0.2290862290862291
