experiment_id,metric,value,lower_bound,upper_bound,iqr_multiplier,generation_order,image_id,prompt_id,seed,status
20260723_224105,generation_total_seconds,4.812923,2.373322,2.9427079999999997,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,generation_total_seconds,2.944851,2.373322,2.9427079999999997,1.5,12,P002_w512_h512_seed47,P002,47,generated
20260723_224105,inference_seconds,4.391353,2.1740372499999996,2.6881252500000006,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,image_save_seconds,0.421558,0.05281762500000001,0.41776662499999995,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,image_save_seconds,0.41936,0.05281762500000001,0.41776662499999995,1.5,12,P002_w512_h512_seed47,P002,47,generated
20260723_224105,gpu_energy_j,123.107,104.61187499999997,122.44287500000004,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,gpu_energy_j,104.039,104.61187499999997,122.44287500000004,1.5,10,P002_w512_h512_seed45,P002,45,generated
20260723_224105,gpu_energy_j,131.336,104.61187499999997,122.44287500000004,1.5,13,P003_w512_h512_seed42,P003,42,generated
20260723_224105,gpu_energy_j,127.83,104.61187499999997,122.44287500000004,1.5,26,P004_w512_h512_seed44,P004,44,generated
20260723_224105,gpu_energy_wh,0.034196389,0.029058854249999995,0.034011910250000006,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,gpu_energy_wh,0.028899722,0.029058854249999995,0.034011910250000006,1.5,10,P002_w512_h512_seed45,P002,45,generated
20260723_224105,gpu_energy_wh,0.036482222,0.029058854249999995,0.034011910250000006,1.5,13,P003_w512_h512_seed42,P003,42,generated
20260723_224105,gpu_energy_wh,0.035508333,0.029058854249999995,0.034011910250000006,1.5,26,P004_w512_h512_seed44,P004,44,generated
20260723_224105,gpu_power_mean_w,5.717111,28.64456775000001,42.990949749999984,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,gpu_power_mean_w,24.847,28.64456775000001,42.990949749999984,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_224105,gpu_power_mean_w,21.70625,28.64456775000001,42.990949749999984,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_224105,gpu_power_mean_w,25.837667,28.64456775000001,42.990949749999984,1.5,12,P002_w512_h512_seed47,P002,47,generated
20260723_224105,gpu_power_mean_w,26.38625,28.64456775000001,42.990949749999984,1.5,24,P005_w512_h512_seed45,P005,45,generated
20260723_224105,gpu_power_max_w,25.571,42.863125,46.64812499999999,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,gpu_power_max_w,41.452,42.863125,46.64812499999999,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_224105,gpu_power_max_w,38.498,42.863125,46.64812499999999,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_224105,gpu_power_max_w,35.336,42.863125,46.64812499999999,1.5,12,P002_w512_h512_seed47,P002,47,generated
20260723_224105,gpu_power_max_w,42.265,42.863125,46.64812499999999,1.5,15,P003_w512_h512_seed44,P003,44,generated
20260723_224105,gpu_power_max_w,34.44,42.863125,46.64812499999999,1.5,17,P003_w512_h512_seed46,P003,46,generated
20260723_224105,gpu_power_max_w,38.855,42.863125,46.64812499999999,1.5,24,P005_w512_h512_seed45,P005,45,generated
20260723_224105,gpu_power_max_w,38.967,42.863125,46.64812499999999,1.5,29,P006_w512_h512_seed42,P006,42,generated
20260723_224105,gpu_power_max_w,41.143,42.863125,46.64812499999999,1.5,36,P006_w512_h512_seed47,P006,47,generated
20260723_224105,gpu_utilization_mean_percent,17.0,58.488799500000034,95.20957749999997,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,gpu_utilization_mean_percent,19.5,58.488799500000034,95.20957749999997,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_224105,gpu_utilization_mean_percent,0.0,58.488799500000034,95.20957749999997,1.5,12,P002_w512_h512_seed47,P002,47,generated
20260723_224105,gpu_utilization_mean_percent,0.0,58.488799500000034,95.20957749999997,1.5,17,P003_w512_h512_seed46,P003,46,generated
20260723_224105,gpu_utilization_mean_percent,32.0,58.488799500000034,95.20957749999997,1.5,24,P005_w512_h512_seed45,P005,45,generated
20260723_224105,gpu_utilization_mean_percent,10.666667,58.488799500000034,95.20957749999997,1.5,36,P006_w512_h512_seed47,P006,47,generated
20260723_224105,gpu_utilization_max_percent,58.0,96.5,100.5,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,gpu_utilization_max_percent,39.0,96.5,100.5,1.5,7,P002_w512_h512_seed42,P002,42,generated
20260723_224105,gpu_utilization_max_percent,0.0,96.5,100.5,1.5,12,P002_w512_h512_seed47,P002,47,generated
20260723_224105,gpu_utilization_max_percent,0.0,96.5,100.5,1.5,17,P003_w512_h512_seed46,P003,46,generated
20260723_224105,gpu_utilization_max_percent,64.0,96.5,100.5,1.5,24,P005_w512_h512_seed45,P005,45,generated
20260723_224105,gpu_utilization_max_percent,32.0,96.5,100.5,1.5,36,P006_w512_h512_seed47,P006,47,generated
20260723_224105,process_cpu_mean_percent,78.644444,81.40590687500003,127.66634587499999,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,process_cpu_max_percent,443.7,-57.22500000000001,426.175,1.5,33,P006_w512_h512_seed44,P006,44,generated
20260723_224105,process_rss_peak_mb,1941.230469,1941.3125,1941.3125,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_224105,images_per_hour,747.986175,1210.2081947499998,1500.5290187500002,1.5,1,P001_w512_h512_seed42,P001,42,generated
