experiment_id,metric,count,mean,std,cv_percent,min,q1,median,q3,p95,max,sum
20260723_200342,model_load_seconds,36,8.824562000000002,7.206218595529065e-15,8.166092091062494e-14,8.824562,8.824562,8.824562,8.824562,8.824562,8.824562,317.68423200000007
20260723_200342,inference_seconds,36,4.112200861111111,0.2574745224098496,6.261234095950273,3.963754,4.0242725,4.0485275000000005,4.0710775,4.493933999999999,5.385338,148.039231
20260723_200342,image_save_seconds,36,0.19765619444444443,0.042154816462192206,21.32734396747719,0.141546,0.164405,0.189954,0.2193835,0.2639275,0.325702,7.115622999999999
20260723_200342,generation_total_seconds,36,4.309863472222222,0.253721442092756,5.886994883434994,4.133612,4.208672,4.2452095,4.2898095000000005,4.67980575,5.529443,155.155085
20260723_200342,execution_time_seconds,36,4.309863472222222,0.253721442092756,5.886994883434994,4.133612,4.208672,4.2452095,4.2898095000000005,4.67980575,5.529443,155.155085
20260723_200342,monitoring_duration_seconds,36,4.319297194444445,0.25383568808635915,5.876782186065988,4.141191,4.21429575,4.2554725,4.3065565,4.6880065,5.536993,155.49469900000003
20260723_200342,gpu_energy_j,36,150.11480555555556,5.861959773802831,3.9049844231609754,144.075,147.02325,148.745,151.9185,156.29175,177.769,5404.133
20260723_200342,gpu_energy_wh,36,0.041698556972222224,0.0016283222263936846,3.9049845956981257,0.040020833,0.04083979175,0.0413180555,0.042199583,0.04341437475,0.049380278,1.5011480510000001
20260723_200342,joules_per_image,36,150.11480555555556,5.861959773802831,3.9049844231609754,144.075,147.02325,148.745,151.9185,156.29175,177.769,5404.133
20260723_200342,wh_per_image,36,0.041698556972222224,0.0016283222263936846,3.9049845956981257,0.040020833,0.04083979175,0.0413180555,0.042199583,0.04341437475,0.049380278,1.5011480510000001
20260723_200342,gpu_power_mean_w,36,31.770474694444445,0.8939139047932597,2.8136624126348804,27.070154,31.7188295,31.972972,32.157606,32.2693065,32.455818,1143.737089
20260723_200342,gpu_power_max_w,36,35.26686111111111,0.19795817058557438,0.5613149692054847,35.021,35.077,35.246,35.46125,35.58675,35.654,1269.607
20260723_200342,gpu_utilization_mean_percent,36,85.83694033333333,4.99207165123632,5.815761409773518,66.0,84.575099,87.81818150000001,88.87499975,89.31818150000001,91.818182,3090.129852
20260723_200342,gpu_utilization_max_percent,36,99.30555555555556,0.5766625378327283,0.5806951429923977,98.0,99.0,99.0,100.0,100.0,100.0,3575.0
20260723_200342,gpu_temperature_start_c,36,62.5,3.6449573777637356,5.831931804421977,53.0,60.75,63.0,65.0,67.5,69.0,2250.0
20260723_200342,gpu_temperature_max_c,36,66.33333333333333,3.0705978943149543,4.629042051731087,59.0,64.75,67.0,69.0,70.0,70.0,2388.0
20260723_200342,gpu_temperature_end_c,36,65.58333333333333,3.21936107236913,4.908809767271863,59.0,63.0,66.0,69.0,69.25,70.0,2361.0
20260723_200342,gpu_power_limit_w,36,35.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,1260.0
20260723_200342,torch_peak_allocated_vram_mb,36,3969.752929999999,4.611979901138602e-13,1.1617800861824927e-14,3969.75293,3969.75293,3969.75293,3969.75293,3969.75293,3969.75293,142911.10547999997
20260723_200342,torch_peak_reserved_vram_mb,36,4450.0,0.0,0.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0,160200.0
20260723_200342,nvml_peak_used_vram_mb,36,4806.617188,2.767187940683161e-12,5.757038333719621e-14,4806.617188,4806.617188,4806.617188,4806.617188,4806.617188,4806.617188,173038.21876800002
20260723_200342,peak_vram_mb,36,3969.752929999999,4.611979901138602e-13,1.1617800861824927e-14,3969.75293,3969.75293,3969.75293,3969.75293,3969.75293,3969.75293,142911.10547999997
20260723_200342,process_cpu_mean_percent,36,105.30728436111112,4.617444239411144,4.384733940700039,98.754545,101.92119575,105.0659095,108.94733199999999,112.7708005,117.7,3791.062237
20260723_200342,process_cpu_max_percent,36,229.69166666666666,66.99038470450176,29.16535269941665,146.8,185.975,201.9,255.75,343.325,456.0,8268.9
20260723_200342,process_cpu_user_seconds,36,3.466111111111111,0.37303602107018174,10.762379194203032,3.06,3.19,3.38,3.605,4.0425,4.99,124.78
20260723_200342,process_cpu_system_seconds,36,1.1344444444444444,0.16319041366180523,14.385051155301149,0.66,1.065,1.17,1.21,1.3175000000000001,1.52,40.839999999999996
20260723_200342,process_rss_start_mb,36,1915.025173611111,100.53645833333327,5.249876592679688,1328.5625,1931.78125,1931.78125,1931.78125,1931.78125,1931.78125,68940.90625
20260723_200342,process_rss_peak_mb,36,1931.8632809999997,1.3835939703415806e-12,7.161966294143673e-14,1931.863281,1931.863281,1931.863281,1931.863281,1931.863281,1931.863281,69547.07811599999
20260723_200342,process_rss_end_mb,36,1931.78125,0.0,0.0,1931.78125,1931.78125,1931.78125,1931.78125,1931.78125,1931.78125,69544.125
20260723_200342,system_ram_used_start_mb,36,1843.4838324722223,78.69876764233318,4.269024021588159,1386.441406,1852.5224612499999,1853.3691405,1857.638672,1870.16503875,1889.992188,66365.417969
20260723_200342,system_ram_used_peak_mb,36,1858.2580295277778,9.695907525204804,0.5217740147566448,1852.097656,1852.949219,1854.6367185,1858.7246095,1878.018555,1895.644531,66897.289063
20260723_200342,system_ram_used_end_mb,36,1856.6188150555556,7.525836192569791,0.4053517141775058,1851.730469,1852.63476575,1854.046875,1857.89160175,1870.16503875,1890.972656,66838.277342
20260723_200342,images_per_hour,36,837.6248415277778,40.86105004825092,4.878204181925025,651.060187,839.2074445,848.0155815,855.376713,863.3746990000001,870.908943,30154.494295
