experiment_id,metric,value,lower_bound,upper_bound,iqr_multiplier,generation_order,image_id,prompt_id,seed,status
20260723_200342,generation_total_seconds,4.981113,4.086965749999999,4.411515750000001,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200342,generation_total_seconds,4.57937,4.086965749999999,4.411515750000001,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,generation_total_seconds,5.529443,4.086965749999999,4.411515750000001,1.5,5,P001_w512_h512_seed46,P001,46,generated
20260723_200342,inference_seconds,4.768236,3.9540650000000004,4.141285,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200342,inference_seconds,4.4025,3.9540650000000004,4.141285,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,inference_seconds,5.385338,3.9540650000000004,4.141285,1.5,5,P001_w512_h512_seed46,P001,46,generated
20260723_200342,image_save_seconds,0.325702,0.08193724999999998,0.30185125,1.5,33,P006_w512_h512_seed44,P006,44,generated
20260723_200342,gpu_energy_j,159.909,139.68037499999997,159.261375,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,gpu_energy_j,177.769,139.68037499999997,159.261375,1.5,5,P001_w512_h512_seed46,P001,46,generated
20260723_200342,gpu_energy_wh,0.044419167,0.038800104875000005,0.044239269875,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,gpu_energy_wh,0.049380278,0.038800104875000005,0.044239269875,1.5,5,P001_w512_h512_seed46,P001,46,generated
20260723_200342,gpu_power_mean_w,27.070154,31.060664749999994,32.815770750000006,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200342,gpu_power_mean_w,31.037625,31.060664749999994,32.815770750000006,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,gpu_power_mean_w,30.389103,31.060664749999994,32.815770750000006,1.5,5,P001_w512_h512_seed46,P001,46,generated
20260723_200342,gpu_utilization_mean_percent,73.961538,78.12524787499999,95.32485087500001,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200342,gpu_utilization_mean_percent,78.083333,78.12524787499999,95.32485087500001,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,gpu_utilization_mean_percent,66.0,78.12524787499999,95.32485087500001,1.5,5,P001_w512_h512_seed46,P001,46,generated
20260723_200342,process_cpu_max_percent,456.0,81.31249999999999,360.4125,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200342,process_cpu_max_percent,388.4,81.31249999999999,360.4125,1.5,18,P003_w512_h512_seed47,P003,47,generated
20260723_200342,system_ram_used_peak_mb,1895.644531,1844.2861332500001,1867.38769525,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200342,system_ram_used_peak_mb,1889.992188,1844.2861332500001,1867.38769525,1.5,2,P001_w512_h512_seed43,P001,43,generated
20260723_200342,system_ram_used_peak_mb,1874.027344,1844.2861332500001,1867.38769525,1.5,3,P001_w512_h512_seed44,P001,44,generated
20260723_200342,system_ram_used_peak_mb,1868.957031,1844.2861332500001,1867.38769525,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,images_per_hour,722.730071,814.9535417499999,879.6306157500001,1.5,1,P001_w512_h512_seed42,P001,42,generated
20260723_200342,images_per_hour,786.134285,814.9535417499999,879.6306157500001,1.5,4,P001_w512_h512_seed45,P001,45,generated
20260723_200342,images_per_hour,651.060187,814.9535417499999,879.6306157500001,1.5,5,P001_w512_h512_seed46,P001,46,generated
